,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,markets,traceability_code,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,allergens,nova_score,additives,generic_name,manufacturing,ingredients_origins,link,palm_ingredients,brand_owner
0,Yaourt Yana,3760091301642,['Sans colorants'],['France'],[],[],?,85,356 kj(85 kcal),"0,8","0,5","15,7","15,7","3,8","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Infusion Bio Framboise Lavande - 50g,4002221035188,"['Bio', 'Agriculture durable', 'en:UTZ Certified']",['France'],[],[],?,2,8 kj(2 kcal),0,0,"0,6","0,2",0,0,0,B,50 g,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions']",0 g,en faible quantité,0 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,,-71%,-67%,-100%,-100%,-19%,-55%,-100%,-100%,-100%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,,,,
2,Galettes bretonnes - 180g,3259426040375,,['France'],[],[],?,246,1029 kj(246 kcal),"1,4","0,9","5,2",2,"0,5","0,08","0,032",,180 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Instant frais - Casino,3222477356764,,['France'],[],[],?,43,180 kj(43 kcal),0,0,"9,3","7,3","0,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Casino'],['Casino'],,,,,,,,,,,,,,,
4,Jambon superieur sans couenne 4 tranches.,2273695025780,"['Viande Française', 'Viande Porcine Française']",['France'],[],[],?,?,,?,,?,,?,,,,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambon sans couenne']",,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 14752B', 'Villers-Bocage (Calvados, France)', 'FR 14.752.020 CE', 'Villers-Bocage (Calvados, France)']",,,,,,,,,,,,,,
5,Wawel Czekolada Mleczna Nadziewana Krówką,5900102010547,,"['France', 'Pologne']",[],[],?,515,2155 kj(515 kcal),30,18,56,50,"4,6","0,14","0,056",E,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats fourrés', 'Chocolats au lait fourrés']",30 g,en quantité élevée,18 g,en quantité élevée,50 g,en quantité élevée,0.14 g,en faible quantité,,-7%,-6%,-13%,-1%,+7%,+1%,-29%,-28%,-28%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,['Wawel'],,,26,+2%,E,+2%,,,,,,,,,,
6,Gigantesque noix de cajou,3760279580203,,['France'],[],[],?,615,2573 kj(615 kcal),49,"10,7",22,"6,2","2,1",1,"0,4",E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",49 g,en quantité élevée,10.7 g,en quantité élevée,6.2 g,en quantité modérée,1 g,en quantité modérée,,+3%,+3%,+6%,+26%,-14%,-4%,-89%,+59%,+59%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,16,+111%,D,+111%,,,,,,,,,,
7,Copos de centeno ecológicos - Hijas del Sol,8412016359911,['Bio'],['France'],[],[],?,322,1347 kj(322 kcal),"1,7","0,3",60,"1,1","9,7","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hijas del Sol'],,,,,,,,,,,,,,,,
8,Dark orange,5449000279507,,['France'],[],[],?,19,79 kj(19 kcal),0,0,"4,3","4,3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Leche de pastoreo fresca entera - Celta,8414044002234,,['France'],[],[],?,63,264 kj(63 kcal),"3,6","2,3","4,6","4,6","3,1","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Celta'],,,,,,,,,,,,,,,,
10,Jamoncitos De Pollo Congelados,5010069660645,,['France'],[],[],?,128,536 kj(128 kcal),"6,4","1,9",0,0,"17,1","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Petits pois à l'étuvée très fins - Monoprix,3350033620582,,['France'],[],[],?,88,368 kj(88 kcal),"0,9","0,2",11,"3,7","5,8","0,53","0,212",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Légumes et dérivés', 'Petits pois', ""Petits pois à l'étuvée"", ""Petits pois à l'étuvée très fins""]",0.9 g,en faible quantité,0.2 g,en faible quantité,3.7 g,en faible quantité,0.53 g,en quantité modérée,,+17%,+16%,+33%,+32%,+12%,+14%,+20%,+6%,+6%,,,,,,,,['Monoprix'],['Monoprix'],,-5,,A,,,,,,,,,,,
12,Modilac Expert anti-régurgitations,3572731202116,,['France'],[],[],?,505,2113 kj(505 kcal),26,12,"55,5",50,11,"0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Modilac'],,,,,,,,,,,,,,,,
13,Le Moelleux,3259426039584,,['France'],[],[],?,440,1841 kj(440 kcal),25,5,48,25,6,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Bonbon a la gelatine de boeuf - 250g,8697436553983,,['France'],[],[],?,356,1490 kj(356 kcal),"0,18",0,"80,15","48,7",0,"2,895","1,158",,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Croq'radis,3760056530803,"['Bio', 'Bio européen', 'FR-BIO-16']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Mazdamer - Mlekovita,5900512110530,,['France'],[],[],?,334,1397 kj(334 kcal),26,17,0,0,25,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Mlekovita'],,,,,,,['pp-tray'],,,,,,,,,
17,yahourt - 125g,3700613101107,,['France'],[],[],?,110,460 kj(110 kcal),"3,5","2,3",16,15,"3,6","0,13","0,052",,125 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Confiture d'abricots - Les Confitures du Clocher,3770004870561,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,220,920 kj(220 kcal),0,0,54,54,0,0,0,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",0 g,en faible quantité,0 g,en faible quantité,54 g,en quantité élevée,0 g,en faible quantité,,+0%,+0%,-100%,-100%,+2%,+7%,-100%,-100%,-100%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,['Les Confitures du Clocher'],,,7,-22%,C,-22%,,,,,,,,,,
19,Miel De Lavande Maritime Bio - 250 G - Apidis,3263620212513,['Bio'],['France'],[],[],?,?,,?,,?,,?,,,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,['Apidis'],,,,,,,,,,,,,,,,
20,Financier - Baramel - 180g,3594480002229,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],[],[],?,474,1983 kj(474 kcal),32,14,35,27,"9,9","0,1","0,04",D,180 g,"['Biscuits et gâteaux', 'Gâteaux', 'Financiers']",32 g,en quantité élevée,14 g,en quantité élevée,27 g,en quantité élevée,0.1 g,en faible quantité,,+5%,+5%,+19%,+10%,-19%,-17%,+21%,-70%,-70%,88.7%,6.4%,2.2%,1.6%,1.1%,0.0%,35,['Baramel'],,,20,-8%,E,-8%,,,,,,,,,,
21,Inner Beauty Tea - Fitvia,4260515890206,,['France'],[],[],?,2,8 kj(2 kcal),"0,5","0,1","0,5","0,5","0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fitvia'],,,,,,,,,,,,,,,,
22,Intégrale Casarecce - Barilla - 500g,8076809575478,,['France'],[],[],?,347,1452 kj(347 kcal),"2,5","0,5",64,"3,5",13,"0,013","0,005",,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,['Barilla'],,,,,,,,,,,,,,,,
23,Pom'Granny Snack - Franprix - 20g,3263855400518,,['France'],[],[],?,350,1464 kj(350 kcal),0,0,79,59,"2,1","0,02","0,008",,20 g,,,,,,,,,,,,,,,,,,,,,,,,,,,['Franprix'],['Franprix'],,,,,,,,,,,,,,,
24,Yaourt a la chataigne,3760160630130,,['France'],[],[],?,90,377 kj(90 kcal),"2,7","1,6","12,8","12,4","3,5","0,075","0,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Palillos Castillo De Moriles Artesanitos 200G -  - 200g,8437005628670,,"['France', 'Espagne']",[],[],?,388,1623 kj(388 kcal),4,"0,7",77,"1,5",10,"2,3","0,92",B,200 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins', 'es:Picos de pan']",4 g,en quantité modérée,0.7 g,en faible quantité,1.5 g,en faible quantité,2.3 g,en quantité élevée,,+1%,+1%,-3%,+2%,+6%,-31%,-6%,+8%,+8%,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,14,+13%,D,+13%,,,,,,,,,,
26,0838948005999,0838948005999,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Soupe Toscane - La Potagère - 90g,112345680,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],"['Tomates* 31 %', 'vermicelles 18 % ', 'semoule de blé dur supérieure*', 'farine de blé""', 'fécule de pomme de terre*', 'sel', 'sucre de canne*', 'oignon* 3,5 %', ""huile d'olive vierge extra* 2 %"", 'ail*', 'extrait de levure', 'arôme naturel', 'plantes aromatiques 1,07 % ', 'dont basilic* 0,45 %', 'betterave rouge', ' ""Issus de l\'agriculture biologique']",[],?,336,1406 kj(336 kcal),"2,7","0,5","64,1","20,1","10,3",7,"2,8",,90g,,,,,,,,,,,,,,,,,,,,,,,,,,,['La Potagère'],['Carrefour'],,,,,,['Sachet'],['Gluten'],4,,,,,,,
28,Marmelade de pamplemousse - ecofruit - 205g,8033650183696,,['France'],"['pamplemousse 35,8%', 'moût de raisin', 'pectine ', 'gélifiant', 'acide citrique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,143,598 kj(143 kcal),"0,2","0,05","35,1","32,1","0,3","0,05","0,02",,205g,,,,,,,,,,,,,,,,,,,,,,,,,,,['Ecofruit'],,,,,,,['Verre'],,4,"['E440 - Pectines', 'E330 - Acide citrique']",,,,,,
29,Reis-Waffeln - Choco Bistro,4061458066150,['en:gluten-free'],['France'],[],[],?,499,2088 kj(499 kcal),"23,4","14,2","66,2","33,7","5,4","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Choco Bistro'],,,,,,,,,,,,,,,,
30,Wasabi peanut crunch - 125g,8711299009842,,['France'],[],[],?,461,1929 kj(461 kcal),17,3,"64,2","23,3","11,7","1,8","0,72",,125 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,8001090622594,8001090622594,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Red curry crispies - Mitsuba - 80g,8711299009590,"['Végétarien', 'Sans exhausteur de goût', 'Sans glutamate', 'en:palm-oil-free']",['France'],"['Reis 77%', 'SOJA-Sauce ', 'Wasser', 'SOJABOHNEN', 'WEIZEN', 'Salz', 'rote Curry Paste 5', '4%', 'Rohrzucker', 'Chiliflocken', 'Kaffernlimettenblätter', 'Tapioca-Stärke', 'Hefe Extrakt', 'modifizierte Tapioca-Stärke']","['Sans huile de palme', 'Végétarien']",?,377,1577 kj(377 kcal),"1,6","0,4","82,6","5,5","7,4",2,"0,8",B,80 g,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Biscuits apéritifs']",1.6 g,en faible quantité,0.4 g,en faible quantité,5.5 g,en quantité modérée,2 g,en quantité élevée,,-19%,-20%,-92%,-93%,+39%,+40%,-25%,0%,0%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,['Mitsuba'],,,12,-22%,D,-22%,['Sous-vide'],['Soja'],,,Red curry crispies,"['Pays-bas', 'Hollande', 'Europe']",,,,
33,Tomates entières pelées au jus - Franprix - 800g,3263850682513,,['France'],[],[],?,23,96 kj(23 kcal),"0,5",0,3,3,"1,2","0,04","0,016",B,800 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Tomates et dérivés', 'Tomates', 'Tomates en conserve', 'Tomates pelées']",0.5 g,en faible quantité,0 g,en faible quantité,3 g,en faible quantité,0.04 g,en faible quantité,,-8%,-6%,+77%,-100%,-20%,-7%,+3%,-81%,-81%,67.0%,0.0%,0.0%,15.7%,13.1%,4.3%,97,['Franprix'],['Franprix'],,-5,,A,,,,,,,,,,,
34,Orange à déguster - Cora,3257986649410,,['France'],[],[],?,44,184 kj(44 kcal),"0,2",0,"8,7","8,7",1,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Cora'],,,,,,,,,,,,,,,,
35,Oats Cheerios,5900020024626,,['France'],[],[],?,390,1632 kj(390 kcal),6,"1,1","69,4",20,"10,8","0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Salade Shanghai sodebo,3242274005153,,['France'],[],[],?,254,1063 kj(254 kcal),"8,5","1,2",14,2,"4,4","0,93","0,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Barquette'],,,,,,,,,
37,Confiture Extra Cerise - Auchan - 730g,3596710475766,['50\xa0% de fruits'],['France'],[],[],975,230,975 kj(230 kcal),"0,4",0,55,55,"< 0,5","< 0,1","0,04",D,730 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de cerises']",0.4 g,en faible quantité,0 g,en faible quantité,55 g,en quantité élevée,0.1 g,en faible quantité,+7%,+4%,+5%,+64%,-100%,+2%,+6%,-22%,+279%,+279%,73.9%,8.9%,10.5%,4.6%,1.7%,0.4%,50,['Auchan'],['Auchan'],,11,+12%,D,+12%,['Verrine'],,,,,,,,,
38,Danao orange banane fraise,3661505086585,['Sans sucre ajouté'],['France'],[],[],?,38,159 kj(38 kcal),"0,1","0,1","8,2","7,9","0,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Danao'],,,,,,,,,,,,,,,,
39,Coeur de saumon fumé au citron vert et aux baies de timut,5400742902580,,['France'],[],[],?,182,761 kj(182 kcal),11,3,"0,2","0,2",22,3,"1,2",E,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",11 g,en quantité modérée,3 g,en quantité modérée,0.2 g,en faible quantité,3 g,en quantité élevée,,-2%,-2%,+5%,+46%,-60%,-40%,-0%,+6%,+6%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,14,+7%,D,+7%,,,,,,,,,,
40,Zanetti Grana Padano Dop - 200g,8002710812005,,"['France', 'Allemagne']",[],[],?,398,1665 kj(398 kcal),29,18,0,0,33,"1,5","0,6",D,200 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Grana Padano']",29 g,en quantité élevée,18 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,,+1%,+0%,+0%,0%,-100%,-100%,0%,-1%,-1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['Zanetti'],,,15,-1%,D,-1%,['Kunststoff'],,,,,,,,,
41,Confiture fruits rouge extra - Côteaux Nantais - 325g,3301595001883,"['Bio', 'Bio européen']",['France'],[],[],1113,262,1113 kj(262 kcal),0,0,63,62,"0,7",0,0,C,325 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges']",0 g,en faible quantité,0 g,en faible quantité,62 g,en quantité élevée,0 g,en faible quantité,+20%,+19%,+20%,-100%,-100%,+18%,+22%,+37%,-100%,-100%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['Côteaux Nantais'],,,6,-33%,C,-33%,,,,,,,,,,
42,Gnocchi a poeler - Rana,8001665710350,"['Sans conservateurs', 'en:palm-oil-free']",['France'],[],['Sans huile de palme'],?,240,1004 kj(240 kcal),11,"6,9",30,"9,1","7,1","1,3","0,52",,,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies']",11 g,en quantité modérée,6.9 g,en quantité élevée,9.1 g,en quantité modérée,1.3 g,en quantité modérée,,+16%,+16%,+73%,+157%,+11%,+243%,-15%,+25%,+25%,,,,,,,,['Rana'],,,15,+180%,D,+180%,['Plastique'],,,,,,,,,
43,Haribo Goldbären Himbeere - 75g,4001686387184,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,E,75 g,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés', 'Ours gélifiés']",,,,,,,,,,,,,,,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,['Haribo'],,,,,,,['Kunststoff'],,,,,,,,,
44,Caramellefunghi porcini,3760273250706,,['France'],[],[],?,227,950 kj(227 kcal),"5,4","2,8","33,7","1,4","10,3","1,05","0,42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"Pinar, Käse",8690565230244,,['France'],[],[],?,280,1172 kj(280 kcal),25,17,"0,7","0,7",13,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Vin,3263857604419,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Sauce tomate aux aubergines,8003496080190,"['Fabriqué en Italie', 'Sans sucre ajouté']",['France'],[],[],?,47,197 kj(47 kcal),"1,8",0,"4,5",4,"2,6","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Baguette précuite sans gluten et bio - Bjorg,3229820798981,"['Bio', 'Sans gluten', 'Sans sucre ajouté', 'Sans huile de palme']",['France'],[],[],?,196,820 kj(196 kcal),"3,9","0,4",33,"0,5",4,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bjorg'],,,,,,,,,,,,,,,,
49,Evaporated Milk - Dairy Manor - 410g,20074487,,['France'],[],[],?,162,678 kj(162 kcal),9,6,"12,7","12,7","7,6","0,3","0,12",,410 g,,,,,,,,,,,,,,,,,,,,,,,,,,,['Dairy Manor'],,,,,,,,,,,,,,,,
50,Slim cake - Clean Foods - 250gr,8718868684127,['en:gluten-free'],['France'],"['FARINE DE SARRASIN', 'POLYDEXTOSE', 'POUDRE DE LAIT ECREME', ""ALBUMINE D'OEUFS"", 'AMIDON DE RIZ', 'AROME DE CITRON', 'CARBONATE DE CALCIUM', 'KONJAC GLUCOMANNAN', 'BICARBONATE DE SODIUM', 'GOMME DE CUAR', 'COMME XANTHANE', 'LECITHINE TOURNESOL', 'ACIDE CITRIQUE', 'CURCUMA', 'SEL FIN', 'SUCRALOSE INGREDIENTEN BOEKWEITMEEL POLYDEXTROSE', 'VETARME MELKPOEDER', 'EI ALBUMINE', 'ROSTZETMEEL CITROEN AROMA', 'CALCIUM CARBONAAT', 'KONJAC GLUCOMANNAN', 'SODIUM BICARBONAAT', 'CUARGOM', 'XANTHAANGOM', 'LECITHINE ', 'ZONNENBLOEM', ' CITROENZUUR', 'KURKUMA', 'ZOUT ', 'FUN]', 'SUCRALOSE']",['Non végétalien'],?,73,305 kj(73 kcal),"0,9",0,"6,9","0,24",6,"0,04","0,016",,250gr,,,,,,,,,,,,,,,,,,,,,,,,,,,['Clean Foods'],,,,,,,,,4,"['E425ii - Glucomannane de konjac', 'E322i - Lécithine', 'E330 - Acide citrique', 'E955 - Sucralose']",,,,,,
51,Vinaigre de pomme,3558820000603,,['France'],[],[],?,?,,?,,?,,?,,,,,"['en:Vinaigres', 'en:Vinaigres de cidre']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Magret de canard extra tendre - Delpeyrat,3067163640983,['Point Vert'],['France'],[],[],?,301,1259 kj(301 kcal),25,8,"1,5","0,5",15,"0,8","0,32",E,,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",25 g,en quantité élevée,8 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,,-11%,-11%,-15%,-20%,+20%,-25%,-16%,-52%,-52%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,['Delpeyrat'],,,13,-29%,D,-29%,,,,,,,,,,
53,Sauce tartare - Saint Christophe,5420058014388,,['France'],[],[],?,732,3063 kj(732 kcal),80,"6,5","1,7","1,2","1,4","1,1","0,44",B,,"['Epicerie', 'Sauces', 'Sauces tartare']",80 g,en quantité élevée,6.5 g,en quantité élevée,1.2 g,en faible quantité,1.1 g,en quantité modérée,,+40%,+41%,+48%,+43%,-64%,-56%,+20%,-39%,-39%,52.2%,31.5%,7.2%,5.2%,3.1%,0.8%,77,['Saint Christophe'],,,19,+9%,E,+9%,,,,,,,,,,
54,3760166451043,3760166451043,"['Bio', 'Bio européen', 'FR-BIO-09']",['France'],"['PROPRIETAIRE/RECOLTANT KERAVEL - 29680 ROSCOFF TEL', ' 02 98 29 77 43 ROS CID CERTIFIE ARTISA AB AGRICULTURE BIOLOGIQUE FR-BIO-09 Contient des sulfites Agriculture France IBRUT']",[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Tapas crevettes - Lidl - 100g,20249748,,['France'],[],[],?,116,485 kj(116 kcal),"0,7","0,2","13,4","12,1","12,7","2,19","0,876",,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,['Lidl'],,,,,,,,,,,,,,,,
56,Pâté de légumes carottes cumin,3760103460121,,['France'],[],[],?,93,389 kj(93 kcal),"6,1","0,4","6,3","3,7","2,2","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Crunchy potatoes - McCain,8710438114867,"['Végétarien', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",?,150,628 kj(150 kcal),6,"0,7",21,"0,5",2,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['McCain'],,,,,,,,,,,,,,,,
58,Biscuit apéritif Artisanal A la Tomme,3760272470211,"['Bio', 'en:gluten-free', 'Sans additifs']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,8606107566412,8606107566412,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,5397176815237,5397176815237,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Tomate Tofu - Franprix,3263851445612,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],[],[],?,53,222 kj(53 kcal),"2,2","0,3","5,5","4,7","1,8","0,78","0,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Franprix'],['Franprix'],,,,,,,,,,,,,,,
62,Silouhette et minceur,3663479004831,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Tiramisu - M&S - 500g,00858960,,"['France', 'Royaume-Uni']","['Water', 'Glucose Syrup', 'Mascarpone Cheese ', '10%', ' ', 'Cream ', 'Milk', 'Milk', 'Acidity Regulator: Lactic Acid ', 'Milk', 'Sugar', 'Skimmed Milk Powder', 'Coconut Oil', 'Wheatflour ', 'contains Gluten', 'Pasteurised Egg Yolk', 'Pasteurised Egg', 'Marsala Wine ', '1', '5%', 'Ethyl Alcohol', 'Stabiliser: Sorbitol', 'Cocoa Powder', 'Citrus Fibre', 'Thickener: Carrageenan', 'Instant Coffee', 'Emulsifier: E471', 'Flavourings', 'Coffee Extract', 'Raising Agent: E500', 'E503', ' Salt']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",?,273,1142 kj(273 kcal),"11,9","9,6","33,4","20,9","4,6","0,1","0,04",E,500g,"['Produits laitiers', 'Desserts', 'Biscuits et gâteaux', 'Desserts lactés', 'Pâtisseries', 'Tiramisu']",11.9 g,en quantité modérée,9.6 g,en quantité élevée,20.9 g,en quantité élevée,0.1 g,en faible quantité,,+4%,+4%,0%,+20%,+4%,-2%,+11%,-43%,-43%,84.5%,12.9%,0.8%,1.3%,0.4%,0.1%,11,['M&S'],['Marks & Spencer'],,15,+9%,D,+9%,"['Plastic', 'Cardboard', 'card-sleeve', 'pet-tray', 'ldpe-film']","['Gluten', 'Lait']",4,"['E270 - Acide lactique', 'E1510 - Éthanol', 'E420 - Sorbitol', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium""]",,['Italy'],,,,
64,Kokosbluten zuker,4044019751177,['Bio'],['France'],[],[],?,408,1707 kj(408 kcal),"1,5","0,5",97,96,"1,7","0,42","0,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
