,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,brand,quantity,markets,generic_name,packaging,nova_score,allergens,brand_owner,additives,manufacturing,ingredients_origins,palm_ingredients,link
0,Icing color,70896606402,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Saucisson sec,2688494029066,['France'],[],[],?,393,"29,7","5,9","25,6",D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",['Sans colorants'],29.7 g,en quantité élevée,12.7 g,en quantité élevée,1.45 g,en faible quantité,5 g,en quantité élevée,,-2%,1644 kj(393 kcal),-3%,-6%,"12,7",+3%,+165%,"1,45",+6%,-7%,5,+7%,2,+7%,24,0%,E,0%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,,,,
2,Lambrusco di modena,8026924044205,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Orange,60052551,['France'],[],[],?,39,0,10,"0,3",,,,,,,,,,,,,,163 kj(39 kcal),,,0,,,"9,5",,,6,,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,
4,Le porc francais saucisson sec,2316514029016,['France'],[],[],?,0,"27,7","0,9","25,6",D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']","['Viande-francaise', 'Viande-porcine-francaise']",27.7 g,en quantité élevée,0 g,en faible quantité,0.7 g,en faible quantité,4.5 g,en quantité élevée,,-100%,0 kj(0 kcal),-100%,-12%,0,-100%,-60%,"0,7",-49%,-7%,"4,5",-4%,"1,8",-4%,5,-79%,C,-79%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,"['EMB 22136A', ""Loudéac (Côtes-d'Armor, France)"", 'FR 22.136.007 CE', ""Loudéac (Côtes-d'Armor, France)""]",,,,,,,,,,,,,
5,Hiruak,3350672001155,['France'],[],[],?,401,37,5,17,,,,,,,,,,,,,,1678 kj(401 kcal),,,15,,,5,,,32,,"12,8",,,,,,,,,,,,,,['Hiruak'],,,,,,,,,,,,
6,Ketchup Mabels,36494062040,['France'],[],[],?,17,0,0,0,,,,,,,,,,,,,,71 kj(17 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Pâtisserie express,4050847028138,['France'],[],[],?,8,0,68,23,,,,,,,,,,,,,,33 kj(8 kcal),,,0,,,"0,6",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Jambon Saint Alby,2205870003559,['France'],[],[],?,147,7,1,20,,,,,,,,,,,,,,615 kj(147 kcal),,,"3,5",,,"0,5",,,"1,9",,"0,76",,,,,,,,,,,,,,['Saint Alby'],,,,,,,,,,,,
9,Moutarde a l'huile d'olive saveur basilic et persil,2010085200293,['France'],[],[],?,232,21,"4,8",8,,,['Fabriqué en France'],,,,,,,,,,,971 kj(232 kcal),,,"1,2",,,"0,7",,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,
10,Fenugrec Bio,3535400021067,['France'],[],[],?,?,?,?,?,,,"['Bio', 'Bio européen']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Mini vienoiserie,3614701551548,['France'],[],[],?,538,29,60,9,,,,,,,,,,,,,,2251 kj(538 kcal),,,18,,,17,,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,
12,Crevettes décortiquées sans colorant - Miti,3760070015669,['France'],[],[],?,78,"0,7","0,5",18,,,['Sans colorants'],,,,,,,,,,,326 kj(78 kcal),,,"0,1",,,"0,5",,,"1,2",,"0,48",,,,,,,,,,,,,,['Miti'],,,,,,,,,,,,
13,Noisette décortiquée,2600140014103,['France'],[],[],?,692,"60,7","16,7","14,9",,,,,,,,,,,,,,2895 kj(692 kcal),,,"4,5",,,"4,3",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Green Mulberry,8857123457035,['France'],[],[],?,?,?,?,?,,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Lait demi écrémé stérilisé uht,2248334051062,['France'],[],[],?,46,"1,6","4,8","3,2",D,"['Produits laitiers', 'Laits', 'Laits demi-écrémés']",,1.6 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.09 g,en faible quantité,,-2%,192 kj(46 kcal),-2%,+2%,1,-1%,-0%,"4,8",0%,-2%,"0,09",-18%,"0,036",-18%,0,,B,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,,,,,,,
16,Tortillas Chocolat,1000110006502,['France'],[],[],?,309,15,38,"4,9",,,,,,,,,,,,,,1293 kj(309 kcal),,,"9,7",,,16,,,"0,92",,"0,368",,,,,,,,,,,,,,,,,,,,,,,,,,
17,240g,0337131305170,['France'],[],[],?,?,?,?,?,,,"['Bio', 'Bio européen', 'IT-BIO-009']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240 g,,,,,,,,,,,
18,mascobado - 1kg,0268525004136,['France'],[],[],?,389,0,97,"0,2",,,['Bio'],,,,,,,,,,,1628 kj(389 kcal),,,0,,,97,,,0,,0,,,,,,,,,,,,,,,1 kg,,,,,,,,,,,
19,Les petits carrés APERITIF CAJUN,3770008206236,['France'],[],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,409,"19,6","46,1","8,9",,,"['Végétarien', 'Sans conservateurs', 'Végétalien', 'en:palm-oil-free']",,,,,,,,,,,1711 kj(409 kcal),,,"2,5",,,"9,5",,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
20,Coupe fraise vanille,97069051166,['France'],[],[],?,192,"7,1",30,"1,6",,,,,,,,,,,,,,803 kj(192 kcal),,,"6,5",,,25,,,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,,
21,Jambom cuit RHONE ALPES 2TR,2207223025126,['France'],[],[],?,625,"5,4","0,5",24,,,,,,,,,,,,,,2615 kj(625 kcal),,,2,,,"0,5",,,"2,5",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22,La marouette,3380330002941,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Shape shake - Foodspring,4260363482264,['France'],[],[],?,?,?,?,?,,,['Sans arômes ajoutés'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Foodspring'],,,,,,,,,,,,
24,Saucisson campagnard artisanal,2239402058458,['France'],[],[],?,382,"30,18","0,61","27,04",,,,,,,,,,,,,,1598 kj(382 kcal),,,"12,5",,,0,,,"2,97",,"1,188",,,,,,,,,,,,,,,,,,,,,,,,,,
25,Granola origan et romarin,3770013545009,['France'],[],[],?,460,"17,6","53,7","14,1",,,['Sans sucre ajouté'],,,,,,,,,,,1925 kj(460 kcal),,,"2,3",,,"7,8",,,"1,44",,"0,576",,,,,,,,,,,,,,,,,,,,,,,,,,
26,Tomme pur brebis,2488009028146,['France'],[],[],?,400,34,"1,5",22,,,,,,,,,,,,,,1674 kj(400 kcal),,,25,,,"0,5",,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,,
27,SwissDream Bricelets Chocolate Truffes - 150g,7611466005503,['France'],[],[],?,607,47,42,"5,2",,,['Fabriqué en Suisse'],,,,,,,,,,,2540 kj(607 kcal),,,33,,,40,,,"0,2",,"0,08",,,,,,,,,,,,,,,150 g,,,,,,,,,,,
28,Cracker fenouil et romarin,3770013545252,['France'],[],['Sans huile de palme'],?,387,"7,3","68,7","7,2",,,"['en:gluten-free', 'Fabriqué en France', 'Sans additifs', 'en:palm-oil-free']",,,,,,,,,,,1619 kj(387 kcal),,,1,,,10,,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,
29,Huile spéciale fondue,3580281920145,['France'],[],[],?,828,92,0,0,,,,,,,,,,,,,,3464 kj(828 kcal),,,10,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Ravi d’agneau - 391g,2156864017802,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391 g,,,,,,,,,,,
31,Croix en cannelle,0265049019615,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Mate,7790387010145,['France'],[],[],?,0,0,12,3,,,,,,,,,,,,,,0 kj(0 kcal),,,0,,,0,,,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,
33,Mini biscuit tout chocolat,3770013545054,['France'],[],['Sans huile de palme'],?,444,"18,9","57,9",6,,,"['en:gluten-free', 'en:palm-oil-free']",,,,,,,,,,,1858 kj(444 kcal),,,"3,8",,,21,,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,,
34,Alphabet Blanc,8009004701168,['France'],[],[],?,?,?,?,?,,,"['Bio', 'Bio européen', 'IT-BIO-006']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Maringo: tamarind-mango mix - 100g,0725522511017,['France'],[],[],?,345,0,84,"0,5",,,,,,,,,,,,,,1443 kj(345 kcal),,,0,,,69,,,"0,6",,"0,24",,,,,,,,,,,,,,,100 g,,,,,,,,,,,
36,Crepes sucrees monoprix - 280g,9350433556966,['France'],[],[],?,237,"8,8",32,"6,9",B,"['Crêpes et galettes', 'Crêpes', 'Crêpes sucrées']",,8.8 g,en quantité modérée,2.4 g,en quantité modérée,13 g,en quantité élevée,0.18 g,en faible quantité,,-27%,992 kj(237 kcal),-27%,-25%,"2,4",-42%,-31%,13,-42%,-2%,"0,18",-75%,"0,072",-75%,2,-85%,B,-85%,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,"['EMB 62873', 'Wancourt (Pas-de-Calais, France)']",['Monoprix'],280 g,['Monoprix'],,,,,,,,,,
37,2 paves - Charal,0292473048485,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Charal'],,,,,,,,,,,,
38,bille croustillante crunch - Nestlé,7613036594653,['France'],[],[],?,522,28,59,7,,,,,,,,,,,,,,2184 kj(522 kcal),,,17,,,44,,,"0,63",,"0,252",,,,,,,,,,,,,,['Nestlé'],,,,,,,,,,,,
39,Pate a sucre bleu gout vanille - Patisdecor - 100g,3700105230681,['France'],[],[],?,393,"4,8","87,1",0,,,,,,,,,,,,,,1644 kj(393 kcal),,,"3,3",,,"84,7",,,"0,12",,"0,048",,,,,,,,,,,,,,['Patisdecor'],100 g,,,,,,,,,,,
40,Chaussons aux pommes,0202119013128,['France'],[],[],?,?,?,?,?,B,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Chaussons aux pommes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.3%,14.7%,6.1%,3.4%,0.5%,0.0%,75,,,,,,,,,,,,,,
41,Cerneaux de noix,2609948049331,['France'],[],[],?,688,"63,8","10,8","14,7",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix', 'Cerneaux de noix']",,63.8 g,en quantité élevée,5.7 g,en quantité élevée,3 g,en faible quantité,0.01 g,en faible quantité,,+0%,2879 kj(688 kcal),+0%,-0%,"5,7",-3%,+11%,3,-6%,-2%,"0,01",-37%,"0,004",-37%,3,+16%,C,+16%,87.8%,0.0%,4.7%,2.4%,3.2%,2.0%,36,,,,,,,,,,,,,,
42,Soupe de poisson à la Séroise,2303634004115,['France'],[],[],?,48,"2,5","0,4","5,6",E,"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",['Sans conservateurs'],2.5 g,en faible quantité,0.5 g,en faible quantité,0.4 g,en faible quantité,1.17 g,en quantité modérée,,0%,201 kj(48 kcal),+1%,+32%,"0,5",+11%,-78%,"0,4",-39%,+8%,"1,17",+33%,"0,468",+33%,2,+129%,B,+129%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,,,,,,,,,,,,,
43,Pâté Corrézien au magret fumé - La Combe de Job,3760011242062,['France'],[],[],?,331,30,"1,2",14,,,,,,,,,,,,,,1385 kj(331 kcal),,,11,,,"0,7",,,"1,7",,"0,68",,,,,,,,,,,,,,['La Combe de Job'],,,,,,,,,,,,
44,Melange aperitf sale,2609906041599,['France'],[],[],?,636,54,"8,4",24,,,,,,,,,,,,,,2661 kj(636 kcal),,,"8,8",,,"5,9",,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
45,"terrine de campagne ""à la ciboulette""",3760204107055,['France'],[],[],?,?,?,?,?,,"['Viandes', 'Charcuteries', 'Terrines', 'Terrines de campagne']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Pain à l'ancienne tranché 250grs - Leclerc,3478920001785,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Leclerc', 'E.Leclerc']",,,,,,,,,,,,
47,Konjac plus,3505630000057,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Terrine de campagne traditionnelle rotie au four - Carrefour Bio,2227848015685,['France'],[],[],?,331,29,2,15,,"['Viandes', 'Charcuteries', 'Terrines', 'Terrines de campagne']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-13', 'Fabriqué en France']",29 g,en quantité élevée,11 g,en quantité élevée,0.9 g,en faible quantité,1.5 g,en quantité modérée,,+2%,1385 kj(331 kcal),+3%,+2%,11,+2%,-13%,"0,9",+4%,+7%,"1,5",-6%,"0,6",-6%,20,+3%,E,+3%,,,,,,,,"['EMB 29004D', 'Bannalec (Finistère, France)']",['Carrefour Bio'],,['Carrefour'],,,,,,,,,,
49,Vital Convencience Hot Dogs,4043696650063,['France'],[],[],?,267,"14,7","22,8","8,8",,,,,,,,,,,,,,1117 kj(267 kcal),,,"5,3",,,5,,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,
50,2 Filets de poulet blanc,0253055030762,['France'],[],[],?,104,"1,3",0,23,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,,-21%,435 kj(104 kcal),-20%,-55%,"0,4",-46%,-100%,0,-100%,+1%,"0,11",-85%,"0,044",-85%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
51,Pied de porc cuit x 1,0264617019095,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Thon blanc Germon Huile Olive Biologique,3309930200014,['France'],[],[],?,?,?,?,?,E,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile d'olive""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.2%,13.9%,12.9%,6.2%,0.4%,0.4%,22,,,,,,,,,,,,,,
53,Panés au colin d'alaska 200g - 200g,26016894,['France'],[],[],?,192,"7,4",18,12,,,,,,,,,,,,,,803 kj(192 kcal),,,"0,8",,,"0,7",,,"0,9",,"0,36",,,,,,,,,,,,,,,200 g,,,,,,,,,,,
54,Gouda Jeune - €co+,2860011014766,['France'],[],[],?,362,30,"0,5",23,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas', 'Goudas jeunes']",,30 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,2.1 g,en quantité élevée,,0%,1515 kj(362 kcal),+0%,+0%,21,+6%,+294%,"0,5",+359%,-2%,"2,1",+7%,"0,84",+7%,18,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,['€co+'],,,,,,,,,,,,
55,Fraises La gariguette - Prince de Bretagne,3370563700127,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Prince de Bretagne'],,,,,,,,,,,,
56,Jasmine green,5060673710021,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Sésames bites with honey,5203937018369,['France'],[],[],?,552,"36,6","32,2","19,3",,,"['Sans conservateurs', 'en:gluten-free']",,,,,,,,,,,2310 kj(552 kcal),,,"5,9",,,"16,1",,,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,,
58,Huile d'olive extra vierge arome basilic,7336363636543,['France'],[],[],?,882,98,"0,02","0,05",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", ""Huile d'olive extra vierge""]",,98 g,en quantité élevée,14 g,en quantité élevée,0.02 g,en faible quantité,0.01 g,en faible quantité,,+2%,3690 kj(882 kcal),+2%,+2%,14,+4%,,"0,02",,,"0,01",+5487%,"0,004",+5487%,6,0%,C,0%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,
59,Vache qui rit,3076881110180,['France'],[],[],?,217,"16,5","5,5",12,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,16.5 g,en quantité modérée,11 g,en quantité élevée,5.5 g,en quantité modérée,1.8 g,en quantité élevée,,-34%,908 kj(217 kcal),-34%,-38%,11,-38%,+355%,"5,5",+641%,-41%,"1,8",+38%,"0,72",+38%,15,+9%,D,+9%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,
60,Mousse de foie forestière - 160g,70490930,['France'],[],[],?,330,30,3,12,,,,,,,,,,,,,,1381 kj(330 kcal),,,11,,,"1,7",,,"1,3",,"0,52",,,,,,,,,,,,,,,160 g,,,,,,,,,,,
61,Wafer Rolls,87424997,['France'],[],[],?,533,29,62,"4,6",,,,,,,,,,,,,,2230 kj(533 kcal),,,"6,6",,,"40,4",,,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,
62,Sommeil,3664696000392,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"La Hechicera Rum, Solera",7707180703013,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Kloak Slam,5774540702704,['France'],[],[],?,390,0,97,0,,,,,,,,,,,,,,1632 kj(390 kcal),,,0,,,66,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
65,Ultimum Sport Mix Banane Cassis,3588738140702,['France'],[],[],?,244,"0,5",57,"0,5",,,,,,,,,,,,,,1021 kj(244 kcal),,,"0,1",,,55,,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,
66,Assaisonnement Poivre - Citron,4007747002256,['France'],[],[],?,213,"1,9",38,5,,,,,,,,,,,,,,891 kj(213 kcal),,,"0,3",,,35,,,"34,1",,"13,64",,,,,,,,,,,,,,,,,,,,,,,,,,
67,Cotterley Fine Teaser Coffret de thé 6 saveurs,3250390216100,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Cotterley'],,,,,,,,,,,,
68,Les perles de Montpellier,3770006854163,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Emmental grand cru,2404972023483,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Plaques de pain de mie nature - Metro Chef,3439496602912,['France'],[],[],?,198,"6,2",26,"7,6",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']",['Produits destinés aux professionnels'],6.2 g,en quantité modérée,1.1 g,en faible quantité,11 g,en quantité modérée,1.3 g,en quantité modérée,,-26%,828 kj(198 kcal),-26%,+39%,"1,1",+70%,-43%,11,+111%,-10%,"1,3",+14%,"0,52",+14%,6,+314%,C,+314%,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,,"['Metro Chef', 'Metro']",,,,,,,,,,,,
71,Linguas de laranja,5601902200328,['France'],[],[],?,397,"6,6","77,4","5,83",,,,,,,,,,,,,,1661 kj(397 kcal),,,"2,9",,,"41,5",,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
72,Meringue nature,0202530016739,['France'],[],[],?,420,0,"93,7","6,1",,,,,,,,,,,,,,1757 kj(420 kcal),,,0,,,"93,7",,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,,
73,Whey,8718774000608,['France'],[],[],?,400,"5,8","7,4","78,8",,,,,,,,,,,,,,1674 kj(400 kcal),,,2,,,5,,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,
74,Pure boost citron,3760206000101,['France'],[],"['Végétalien', 'Végétarien']",?,408,"21,9","34,1","9,9",,,"['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'Sans sucre ajouté', 'Sans lactose', 'AB Agriculture Biologique']",,,,,,,,,,,1707 kj(408 kcal),,,"2,39",,,34,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Fresh & Friendly Fruits rouges - C'ZON - 130g,3700516002341,['France'],"['Raisin', 'fraise', 'myrtille', 'framboise']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Salades de fruits']","['Sans sucre ajouté', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,74.4%,7.2%,7.9%,6.7%,2.2%,1.6%,81,,"[""C'ZON""]",130 g,,Salade de fruits rouges,['Plastique'],1,,,,,,,
76,Glace suprême vanilla caramel brownie,26057224,['France'],[],[],?,292,16,30,"6,2",,,,,,,,,,,,,,1222 kj(292 kcal),,,10,,,28,,,"0,33",,"0,132",,,,,,,,,,,,,,,,,,,,,,,,,,
77,Poivre blanc grains - Sainte Lucie - 100g,3162050044339,['France'],['Poivre blanc grains'],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 60282A', 'Gouvieux (Oise, France)']",['Sainte Lucie'],100 g,,,['Etui plastique'],,,,,,,,
78,Micro Donuts,0202627006568,['France'],[],[],?,447,28,43,"5,4",B,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",,28 g,en quantité élevée,16 g,en quantité élevée,13 g,en quantité élevée,1.2 g,en quantité modérée,,+9%,1870 kj(447 kcal),+9%,+23%,16,+51%,-4%,13,-23%,-9%,"1,2",+26%,"0,48",+26%,22,+13%,E,+13%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,,,,,,,
79,Tisane fais dodo,4260303292526,['France'],[],[],?,2,"0,1","0,1","0,1",,,,,,,,,,,,,,8 kj(2 kcal),,,"0,1",,,"0,1",,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
80,Yaourt de la ferme,3760275580078,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Chocolats - Godiva - 180g,0031290729548,['France'],[],[],?,526,33,49,"6,8",,,,,,,,,,,,,,2201 kj(526 kcal),,,18,,,45,,,"0,12",,"0,048",,,,,,,,,,,,,,['Godiva'],180 g,,,,,,,,,,,
82,Jambon de dinde - Oriental Viandes - 300g,3436598135775,['France'],[],[],?,422,"3,4","3,3",14,,,['Halal'],,,,,,,,,,,1766 kj(422 kcal),,,"0,9",,,"0,8",,,"2,94",,"1,176",,,,,,,,,,,,,"['EMB 56222', 'Saint-Jean-Brévelay (Morbihan, France)']",['Oriental Viandes'],300 g,,,,,,,,,,,
83,Confidentielle,3467012218118,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Lemonburst Mints,0700596000094,['France'],[],[],?,1,0,"0,5",0,,,,,,,,,,,,,,4 kj(1 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Cassis Fles,8718906371224,['France'],[],[],?,40,0,10,0,,,,,,,,,,,,,,167 kj(40 kcal),,,0,,,10,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Bio bouillon gartengemüse,91541031,['France'],[],[],?,3,0,"0,7",0,,,['Bio'],,,,,,,,,,,13 kj(3 kcal),,,0,,,0,,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,
87,Loaded Legends salted caramel karma,5060594772252,['France'],[],[],?,186,7,"13,5",15,,,,,,,,,,,,,,778 kj(186 kcal),,,"3,5",,,"2,5",,,"0,36",,"0,144",,,,,,,,,,,,,,,,,,,,,,,,,,
88,Capsule de café,5415150311114,['France'],[],[],?,?,?,?,?,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Pain au chocolat beurre AOP,0210237007875,['France'],[],[],?,396,22,42,"6,7",D,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",,22 g,en quantité élevée,15 g,en quantité élevée,12 g,en quantité modérée,0.83 g,en quantité modérée,,0%,1657 kj(396 kcal),-0%,+0%,15,+13%,-1%,12,0%,-7%,"0,83",-8%,"0,332",-8%,19,-4%,E,-4%,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,,,,,,,,,,,
90,Sofficini spinaci,7613312025642,"['France', 'Suisse']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
