,name,bar_code,brand,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,quantity,categories,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,ingredients_origins,manufacturing,traceability_code,additives,nova_score,allergens,generic_name,palm_ingredients,link,brand_owner,producer_info,origin_detail
0,Yves Rocher,3660005628134,['Yves Rocher'],['Sans colorants'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Noix du bresil - boni - 140g,5400141113662,['Boni'],"['Nutriscore', 'Nutriscore C']","['Belgique', 'France']",[],[],2822,?,66,"4,8",14,D,140g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix du Brésil']",['Colruyt'],66 g,en quantité élevée,15 g,en quantité élevée,2.3 g,en faible quantité,0.01 g,en faible quantité,,,2822 kj(674 kcal),-2%,-0%,15,-4%,-23%,"2,3",-2%,-7%,"0,01",-74%,"0,004",-74%,13,+1%,D,+1%,82.2%,1.7%,3.2%,10.8%,2.2%,0.0%,45,,,,,,,,,,,,,
2,Babybel,3073781091533,['Babybel'],,"['France', 'Suisse']","['Vders sriols so Seergewert/Vler i Fet/Moteres gros bone ges Feturen bont scides gros saturis Koledydeate doon Luder/dont sures Eweis/Protines Sele/S Kdlium/Calcium Togesdain Erwachonne apport pumalier adulhes 295 15', '5g hurks Guides 22g 18g 680 mg R']",[],?,295,23,"0,1",22,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,23 g,en quantité élevée,15.5 g,en quantité élevée,0.1 g,en faible quantité,1.8 g,en quantité élevée,,-10%,1234 kj(295 kcal),-10%,-14%,"15,5",-13%,-92%,"0,1",-87%,+8%,"1,8",+38%,"0,72",+38%,15,+9%,D,+9%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,
3,11371175,11371175,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Mövenpick Kaffee - Der Himmlische Ganze Bohnen 500 g - 500g,4006581001753,['Mövenpick'],,"['France', 'Allemagne']",[],[],?,?,?,?,?,E,500g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Grains de café']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,,,,,,,,,,,,
5,Feed Sport Légumes verts,3665069000971,['Feed'],,['France'],[],[],?,398,14,32,31,,,,,,,,,,,,,,,1665 kj(398 kcal),,,"1,4",,,"3,2",,,"2,8",,"1,12",,,,,,,,,,,,,,,,,,,,,,,,,
6,Protein Quäse - Loose,42284765,['Loose'],,"['France', 'Allemagne', 'Suisse']",[],[],?,125,"0,5","0,1",30,,,,,,,,,,,,,,,523 kj(125 kcal),,,"0,2",,,"0,1",,,"2,7",,"1,08",,,,,,,,,,,,,,,,,,,,,,,,,
7,"Comida Para Perros Mini Ultima Nature Cordero 1,25 KG",8410650220284,,"['Sans arômes artificiels', 'Sans colorants', 'Sans arômes ajoutés', 'Sans conservateurs']",['France'],[],[],?,0,?,?,?,,,,,,,,,,,,,,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Tam tam - St Michel,3178530416787,['St Michel'],"['Plein air', 'Œufs de poules élevées en plein air']",['France'],[],[],?,440,24,52,5,,,,,,,,,,,,,,,1841 kj(440 kcal),,,"3,2",,,29,,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,
9,Carottes BIO 1kg - Ferme Larrère - 1kg,3700651500306,['Ferme Larrère'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,?,?,?,?,B,1 kg,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Carottes', 'Légumes frais', 'Carottes fraîches', 'Catégorie 2']",['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,62.4%,0.0%,0.0%,18.7%,12.9%,6.0%,98,['Sachet Plastique'],['Portugal'],['Portugal'],"['EMB 40156D', 'Liposthey (Landes, France)']",,,,,,,,,
10,Dentastix - Pedigree - 7bâtonnets,5010394002127,['Pedigree'],['Sans arômes artificiels'],['France'],"['céréales', ""sous produits d'origine végétale"", 'substances minérales dont tripolyphosphate de sodium 2', '3%', 'viandes et sous-produits animaux', 'huiles et graisses', ' Constituants analytiques ', '%', ': protéine: 7', '7', ' teneur en matières grasses: 1', '3', ' matière inorganique: 5', '4', ' cellulose brute: 0', '7', ' humidité: 16', '2']","[""Pourrait contenir de l'huile de palme""]",?,308,"1,3",?,"7,7",,7 bâtonnets,['Soins-pour-chien'],,1.3 g,en faible quantité,,,,,,,,,1289 kj(308 kcal),,,,,,,,,,,,,,,,,,,,,,,,['Sachet'],,,,['E460 - Cellulose'],4,,,,,,,
11,Vitalay Ice Tea (Jasmin) - Vitalay sarl,7640175930028,['Vitalay sarl'],,"['France', 'Suisse']","['eau sUcre de canne non raffiné thé vert jasmin 4', '19 0', '1g Bouteille et étiquette en fibre de canne à sucre HPP Gardez moi au frais', '5°C']",[],?,20,"0,5","4,1","0,1",C,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons sans alcool', 'Boissons au thé', 'Thés glacés']",,0.5 g,en faible quantité,0 g,en faible quantité,4.1 g,en quantité modérée,0 g,en faible quantité,,0%,84 kj(20 kcal),-1%,+395%,0,-100%,-13%,"4,1",-8%,-14%,0,-100%,0,-100%,6,-10%,D,-10%,45.5%,1.5%,24.0%,16.3%,10.0%,2.7%,68,,,,,,,,,,,,,
12,Pâte feuilletée -,0200034018969,,['Pur beurre'],['France'],[],[],?,417,27,35,6,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes à tarte', 'Pâtes feuilletées']",,27 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,0.2 g,en faible quantité,,+9%,1745 kj(417 kcal),+10%,+24%,0,-100%,-9%,0,-100%,+3%,"0,2",-80%,"0,08",-80%,2,-88%,B,-88%,75.8%,9.6%,3.8%,2.8%,1.7%,6.3%,51,,,,,,,,,,,,,
13,Les recettes de l'atelier Ruby - Nestlé,7613036849593,"['Nestlé', ""Les Recettes de l'Atelier""]","['Agriculture durable', 'en:UTZ Certified', 'en:utz-certified-cacao']","['Belgique', 'France']","['Sucre', 'beurre de cacao', 'lait écrémé en poudre', 'lait entier en poudre', 'pâte de cacao', 'framboises séchées ', '3%', 'émulsifiant ', 'lécithines', 'acidifiant ', 'acide citrique', 'arôme naturel de vanille', ' Cacao : 48% minimum dans le chocolat de couverture', ' Peut contenir : oeuf', 'gluten', 'fruits à coque']",['Non végétalien'],?,554,35,49,9,E,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs']",['Delhaize'],35 g,en quantité élevée,21 g,en quantité élevée,48 g,en quantité élevée,0.25 g,en faible quantité,,-2%,2318 kj(554 kcal),-2%,-3%,21,-3%,-8%,48,-5%,+35%,"0,25",-3%,"0,1",-3%,26,-3%,E,-3%,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,,,,,"['E322 - Lécithines', 'E330 - Acide citrique']",4,,,,,,,
14,Filet mignon de porc légumes et pommes de terre - Monique Ranou - 280g,3250392735371,['Monique Ranou'],"['Sans colorants', 'Sans conservateurs', 'Nutriscore', 'Nutriscore B']",['France'],"['Filet mignon de porc 21,4 % ', 'origine : France', 'carottes 17,1 %', 'pommes de terre 15,4 %', 'crème fraîche ', 'dont lait', 'potimarron 8,7 %', 'marrons 8,7 %', 'champignons de Paris 8 %', 'eau', 'oignons 2,8 %', 'farine de blé', 'cèpes 0', '7 %', 'sel', 'huile de tournesol', 'persil', 'poivre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",409,98,"4,1","7,9","6,4",,280g,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au porc', 'Plats préparés à réchauffer au micro-ondes']",['Intermarché'],4.1 g,en quantité modérée,2.5 g,en quantité modérée,1.7 g,en faible quantité,0.71 g,en quantité modérée,-45%,-46%,409 kj(98 kcal),-47%,-55%,"2,5",-16%,-46%,"1,7",-10%,-23%,"0,71",-39%,"0,284",-39%,1,-83%,B,-83%,,,,,,,,['Barquette plastique'],,"['Laillé', 'France']","['EMB 35139A', 'Laillé (Ille-et-Vilaine, France)']",,3,"['Gluten', 'Lait']",,,,,,
15,Riz cantonais - Auchan - 250g,3596710464265,['Auchan'],,['France'],"['Riz précuit 58%', 'eau', 'petits pois 6', '4%', 'épaule de porc préparées 6% ', 'épaule de porc ', 'origine UE', 'eau', 'sel', ' conservateur: nitrite de sodium', ' stabilisants: triphosphates', 'algues Euchema transformées', 'farine de graine de caroube', 'amidon modifié de maïs', 'arôme naturel', 'dextrose', 'maltodextrine', 'omelette 6% ', 'oeufs', 'sel', 'épaississant: gomme de xanthane', 'huile de colza', 'arôme naturels ', 'contient blé', 'céleri', ',sel', 'oignon grillé sauce soja ', 'eau', 'soja', 'farine de blé,sel', 'sucre']","['Non végétalien', 'Non végétarien']",?,177,"4,6",28,5,C,250 g,"['Plats préparés', 'Céréales préparées', 'Riz préparés', 'Riz cantonais']",['Auchan'],4.6 g,en quantité modérée,0.5 g,en faible quantité,0.6 g,en faible quantité,0.79 g,en quantité modérée,,+13%,741 kj(177 kcal),+13%,+16%,"0,5",-27%,+18%,"0,6",-52%,-5%,"0,79",-19%,"0,316",-19%,2,-13%,B,-13%,69.5%,13.6%,6.2%,6.3%,2.6%,1.8%,69,['Doypack'],,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition', 'E410 - Gomme de caroube', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane']",4,"['Céleri', 'Œufs', 'Gluten', 'Soja']",,,,,,
16,Pommes de terre de Noirmoutier -,20054878,,,['France'],"['pommes de terre de Noirmoutier', 'eau', 'sel marin']",[],?,54,"0,1",11,"1,2",,,,,,,,,,,,,,,226 kj(54 kcal),,,"0,1",,,"0,6",,,"0,54",,"0,216",,,,,,,,,,,,,,,,,,,,,,,,,
17,mayon(n)aise - Regalo,27069912,['Regalo'],,"['Belgique', 'France']",[],[],?,738,81,"1,4","1,3",,,,,,,,,,,,,,,3088 kj(738 kcal),,,"6,6",,,"1,3",,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,
18,Arroz redondo envasado al vacio - La Cigala,8410184014113,['La Cigala'],,"['France', 'Espagne']",[],[],?,344,"0,7",76,"6,5",C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz']",,0.7 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,+2%,1439 kj(344 kcal),+1%,-42%,"0,3",+12%,+5%,0,-100%,-10%,0,-100%,0,-100%,0,,B,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,,,,,,,
19,Fromage frais entier - Milsani - 250g,27065129,['Milsani'],,"['Belgique', 'France']","['Lait écréme', 'crème', 'bactéries lactiques', 'présure ', 'microbienne']",['Non végétalien'],?,139,"9,8","3,5","9,3",D,250 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",['Aldi'],9.8 g,en quantité modérée,6.7 g,en quantité élevée,3.5 g,en faible quantité,0.1 g,en faible quantité,,-58%,582 kj(139 kcal),-58%,-63%,"6,7",-62%,+189%,"3,5",+372%,-54%,"0,1",-92%,"0,04",-92%,2,-85%,B,-85%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['Plastik', 'PP5']",['Niemcy'],"['Zeven', 'Deutschland']","['DE NI010 EG', 'DE NI-010 EG']",,3,['Lait'],,,,,,
20,8410537050126,8410537050126,,,"['France', 'Espagne', 'Suisse']",[],[],?,?,?,?,?,D,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,,,,,,,,,,
21,Taillefine Fromage blanc Fraise - Nestle,5010103519168,['Nestle'],,['France'],"['Fromage blanc ', 'lait: Origine France', ' ', '60,6%', 'lait écrémé ', 'Origine : France', 'fraise ', '9%', 'fructose ', '1,5%', 'lait écrémé en poudre ', 'Origine : UE', 'agent de charge : polydextrose ', 'fibres', ' épaississants: amidon transformé', 'pectine', 'gomme guar', 'protéines AICS de lait', ""correcteurs d'acidité : citrate de sodium"", 'citrate de calcium', 'acide citrique', 'colorant : carmin', 'édulcorants: acésulfarme K et sucralose', 'arômes', 'ferments lactiques ', 'lait', 'vitamine D']","['Non végétalien', 'Non végétarien']",?,0,"0,1","6,5","6,4",B,,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs', 'Fromages blancs aux fruits']",,0.1 g,en faible quantité,0.06 g,en faible quantité,6.2 g,en quantité modérée,0.15 g,en faible quantité,,-100%,0 kj(0 kcal),-100%,-98%,"0,06",-97%,-38%,"6,2",-39%,+25%,"0,15",,"0,06",,-2,,A,,61.1%,18.2%,7.9%,7.1%,4.4%,1.2%,89,"['Pots', 'Plastique']",,,,"['E1200 - Polydextrose', 'E14XX - Amidons modifiés', 'E440 - Pectines', 'E412 - Gomme de guar', 'E331 - Citrates de sodium', 'E333 - Citrates de calcium', 'E330 - Acide citrique', 'E120 - Acide carminique']",4,['Lait'],,,,,,
22,Boudin noir aux pommes - Pierre Milleret,3330340000055,['Pierre Milleret'],"['Sans colorants', 'Sans conservateurs']",['France'],"['Oignons', 'gorge de porc', 'sang de porc', 'cubes de pommes ', '10%', ""sel de l'île de Ré "", '0', '75%', 'poivre', 'épices']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,193,10,"5,1","7,7",D,,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins noirs', 'Boudins noirs aux pommes', 'Boudin noir sauté']",,10 g,en quantité modérée,3.8 g,en quantité modérée,3.9 g,en faible quantité,0.76 g,en quantité modérée,,-19%,808 kj(193 kcal),-18%,-46%,"3,8",-47%,-0%,"3,9",-6%,-27%,"0,76",-36%,"0,304",-36%,4,-71%,C,-71%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,,,,3,,,,,,,
23,Boisson végétale riz et amande - Bio Naturae,8034063246664,['Bio Naturae'],"['Bio', 'Bio européen', 'en:gluten-free', 'IT-BIO-009', 'Sans sucre ajouté']",['France'],"['Eau', 'riz* 16%', 'huile de tournesol 1', ""2%,crème d'AMANDE* 1%"", 'sel marin', 'arôme naturel', ' *Ingrédients biologiques', "" Peut contenir des traces d'autres FRUITS À COQUE""]",[],?,67,"1,7","12,4","0,4",,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons multivégétaux']",,1.7 g,en quantité modérée,0.2 g,en faible quantité,6.4 g,en quantité élevée,0.11 g,en faible quantité,,+24%,280 kj(67 kcal),+23%,-6%,"0,2",-44%,+43%,"6,4",+45%,-35%,"0,11",+18%,"0,044",+18%,1,+77%,B,+77%,,,,,,,,,,,,,4,['Fruits à coque'],,,,,,
24,Café En Grains,7610899110006,,,"['France', 'Suisse']",[],[],?,?,?,?,?,E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Grains de café']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,,,,,,,,,,,,
25,Pavé de saumon - Auchan,3254567944551,['Auchan'],,['France'],[],[],?,?,?,?,?,E,,"['Produits de la mer', 'Poissons', 'Saumons', 'Pavés de saumon']",['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,
26,Tapenade noire - Monoprix Bio,3350033593886,"['Monoprix Bio', 'Monoprix']",['Bio'],['France'],"['olives noires* 92% - câpres* 3%-huile dolive vierge extra* - ail* - anchois salés 0,7% ', 'anchois', 'sel - herbes aromatiques* - sel - vinaigre de cidre', ' Traces de celeri', "" Ingrédients issus de l'agriculture biologique"", "" Piesence possible de morceaux de noyaux d'olives""]","['Non végétalien', 'Non végétarien']",?,292,30,0,2,C,,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades noires']",['Monoprix'],30 g,en quantité élevée,3.6 g,en quantité modérée,0 g,en faible quantité,3.2 g,en quantité élevée,,+6%,1222 kj(292 kcal),+6%,+12%,"3,6",+3%,-100%,0,-100%,+14%,"3,2",+2%,"1,28",+2%,16,+8%,D,+8%,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,,,3,['Poisson'],,,,,,
27,pépites de lentilles corail et carottes - Bonduelle food service - 1kg,11317618,['Bonduelle food service'],['en:gluten-free'],['France'],[],[],?,?,?,?,?,,1 kg,,['Métro'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sachet'],,,['L8 202'],,,,,,,,,
28,Lait de coco - Priméal,3380380083648,['Priméal'],"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique']",['France'],[],"['Végétalien', 'Végétarien']",?,170,17,"2,6","1,7",B,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Laits de coco']",,17 g,en quantité élevée,16 g,en quantité élevée,2.2 g,en faible quantité,0.05 g,en faible quantité,,+8%,711 kj(170 kcal),+8%,+9%,16,+18%,-6%,"2,2",+31%,+34%,"0,05",-32%,"0,02",-32%,12,+26%,D,+26%,30.3%,10.4%,21.2%,23.2%,11.5%,3.4%,75,,,,,,,,,,,,,
29,Pudding - Nestlé,3023290031766,['Nestlé'],,"['Belgique', 'France']",[],[],?,142,5,"19,4","4,2",,,"['Desserts', 'Puddings']",,5 g,en quantité modérée,3.2 g,en quantité modérée,17.9 g,en quantité élevée,0.15 g,en faible quantité,,-8%,594 kj(142 kcal),-7%,+31%,"3,2",+40%,-20%,"17,9",+27%,+21%,"0,15",+9%,"0,06",+9%,5,+15%,C,+15%,,,,,,,,,,,,,,,,,,,,
30,Aiguillettes de poulet - Auchan,2600241025329,['Auchan'],,['France'],[],[],?,110,"1,3","0,5",24,D,,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",['Auchan'],1.3 g,en faible quantité,0.4 g,en faible quantité,0.5 g,en faible quantité,0.1 g,en faible quantité,,-13%,460 kj(110 kcal),-12%,-30%,"0,4",-16%,-45%,"0,5",+67%,+6%,"0,1",-77%,"0,04",-77%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,
31,Activia - lait fermenté nature - 2kg,3033491422812,['Activia'],"['Nutriscore', 'Nutriscore B']",['France'],"['lait entier ', 'Origine: France', 'lait écrémé concentré ou en poudre ', 'Origine: UE', 'ferments ', 'dont ferments du yaourt et Bifidobacterium ', 'Bifidus Actiregularis', ' ', 'lait']",['Non végétalien'],?,62,"3,4","4,4","3,4",,2 kg,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au Bifidus', 'Yaourts au bifidus nature']",,3.4 g,en quantité modérée,2.4 g,en quantité modérée,4.4 g,en faible quantité,0.12 g,en faible quantité,,+2%,259 kj(62 kcal),+1%,+12%,"2,4",+23%,-3%,"4,4",-1%,-8%,"0,12",+4%,"0,048",+4%,0,,B,,,,,,,,,,,,"['FR 59.043.030 CE', 'Bailleul (Nord, France)']",,3,['Lait'],,,,,,
32,Hazelnut spread - Delhaize 365 - 750g,5400601063674,['Delhaize 365'],"['Agriculture durable', 'en:UTZ Certified', 'en:utz-certified-cacao']","['Belgique', 'France', 'Singapour']","['sugar', 'vegetable oil [rapeseed', 'palm ', 'certified sustainable palmoil 12%', ']', 'hazelnuts 13%', 'fat reduced cocoa', 'skimmed milk powder', 'emulsifier ', 'sunflower lecithin', 'salt', 'falvouring', 'flavour ', 'hazelnuts']","['Huile de palme', 'Non végétalien']",?,567,37,53,"4,4",D,750 g,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes']",['NTUC Fairprice'],37 g,en quantité élevée,8.3 g,en quantité élevée,52 g,en quantité élevée,0.1 g,en faible quantité,,+3%,2372 kj(567 kcal),+3%,+8%,"8,3",+9%,+4%,52,+11%,-37%,"0,1",-4%,"0,04",-4%,25,+22%,E,+22%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,['Glass'],,,,['E322i - Lécithine'],4,"['Lait', 'Fruits à coque']",,,,,,
33,Amandes decortiquées - Couleurs Vives,3564700270028,['Couleurs Vives'],,['France'],[],[],?,611,53,"5,6",24,E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Amandes', 'Amandes décortiquées']",,53 g,en quantité élevée,4.3 g,en quantité modérée,4 g,en faible quantité,0.01 g,en faible quantité,,-3%,2556 kj(611 kcal),-2%,+3%,"4,3",+7%,-57%,4,+2%,+7%,"0,01",-57%,"0,004",-57%,1,,B,,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,,,,,,,,,
34,Rhum,1377040444408,,,['France'],[],[],?,?,?,?,?,C,,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Rhums']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,,,,,,,,,,,,
35,sourInfernals - Chupa Chups,8410031967357,['Chupa Chups'],,['France'],[],[],?,385,0,94,0,,,,,,,,,,,,,,,1611 kj(385 kcal),,,0,,,82,,,"0,07",,"0,028",,,,,,,,,,,,,,,,,,,,,,,,,
36,Beignets -,5410231027120,,,['France'],"['farine de BLE', 'sucre', 'sel', 'levure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,285,11,39,"6,7",,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Aides culinaires', 'Gâteaux', 'Préparations pour desserts', 'Aides à la pâtisserie', 'Préparations pour gâteaux', 'Aide culinaire sucrée', 'Beignets sucrés']",,,,,,,,,,,-27%,1192 kj(285 kcal),-26%,-29%,"1,7",-60%,-26%,"3,6",-91%,+24%,"0,76",+459%,"0,304",+459%,,,,,,,,,,,,,,,,,3,['Gluten'],,,,,,
37,Compote pomme abricot - andros - 85g,3608580950165,['Andros'],['Sans sucre ajouté'],['France'],"['Pommes 69,9%', 'abricots 30%', 'vitamines A']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,48,"0,3",10,"0,5",A,85g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes à boire']",['vente privée andros'],0.3 g,en faible quantité,0 g,en faible quantité,10 g,en quantité modérée,0 g,en faible quantité,,-23%,201 kj(48 kcal),-24%,-18%,0,-100%,-26%,10,-20%,+23%,0,-100%,0,-100%,-4,,A,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,['Gourde'],['Union européenne'],['France'],,,1,,,,,,,
38,Pommes bio - Carrefour Bio - 4fruits,3590920412368,"['Carrefour Bio', 'Carrefour']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture France']",['France'],[],[],?,?,?,?,?,B,4 fruits,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes', 'Fruits frais', 'Pommes fraîches']",['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,"['barquette carton', 'sachet plastique']",['France'],,,,,,,,,,,
39,"Oreo slug golden - 462g, 3de 154g",7622210589736,['Oreo'],,['France'],[],[],?,484,20,69,"5,3",C,"462 g, 3 de 154 g","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,20 g,en quantité modérée,5 g,en quantité modérée,35 g,en quantité élevée,0.79 g,en quantité modérée,,+2%,2025 kj(484 kcal),+2%,-4%,5,-50%,+8%,35,+19%,-18%,"0,79",+34%,"0,316",+34%,20,+1%,E,+1%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['Film plastique', 'Film plastique']",,,,,,,Biscuits fourrés goût vanille,,,,,
40,Belgian dark chocolate minis - Weight Watchers - 75.0g,5051882198564,['Weight Watchers'],['Sans sucre ajouté'],"['France', 'Allemagne', 'Suisse']","['Pâte de cacao', 'fibres a igofructose', 'édulcorants: érythritol', 'glycosides de stéviol ', 'beurre de cacao', 'émulsifiant : lécithine di at contient 55% minimum de cacao sec', 'Peut contenir des traces de lait', 'de noix et de gluten', 'ainer des effets laxatifs', 'O Ingrediēnten: Cacaomassa', 'voedingsvezels: maisdextrine', 'inu steviolglycosiden', 'cacaoboter', 'emulgator: sojalecithine', 'natuurlijk vanillearoma', 'Chocola anddelen', 'Kan sporen van melk', 'noten en gluten bevatten', 'Overmatig gebruik kan laxerem ische Schokolade/Chocolat Belge/Echte Belgische chocolade rch: Weight Watchers ', 'Deutschland', ' GmbH', 'Derendorfer Allee 33', '40476 Düsseldorf', 'Germany r', 'Weight Watchers Eranoo']",[],?,432,"34,8","18,7","5,3",E,75.0 g,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,34.8 g,en quantité élevée,21.9 g,en quantité élevée,3.2 g,en faible quantité,0.02 g,en faible quantité,,-22%,1807 kj(432 kcal),-22%,-12%,"21,9",-5%,-52%,"3,2",-90%,-31%,"0,02",-57%,"0,008",-57%,15,-29%,D,-29%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,"['E968 - Érythritol', 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition', 'E322i - Lécithine']",4,,,,,,,
