,name,bar_code,brand,labels,sales_countries,ingredients_list,allergens,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,nova_score,eco_score,manufacturing,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,ingredients_origins,palm_ingredients,traceability_code,link,brand_owner
0,Paleo Bar - Foodspring,4260363481151,['Foodspring'],"['Bio', 'Bio européen', 'DE-ÖKO-021', 'en:EG-Öko-Verordnung', 'de:Bio européen', 'de:Sans gluten', 'de:Végétalien', 'de:Végétarien']",['France'],"['Datteln getrocknet kbA* Cashews kbA* Wildheidelbeerpulver kbA* ', '10 %', ' Johannisbeersaftkonzentrat khm Heide\\beeren kbA* ', '5 %', ' *aus kontrolliert biologi - 9ygtedients: Dried dates*', 'cashews*', 'Wild blue - schem Anbau', 'EG Kontroilsystïìj', ' concentrate* blueberries* ', '5 Z', ' *organic', 'berry powder* ', '10 Z', 'black EC Control System']",['Fruits à coque'],[],?,334,1397 kj(334 kcal),"7,8","1,5",56,48,"4,7","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Vegan Protein, Neutral - Foodspring",4260363481182,['Foodspring'],"['Végétarien', 'Végétalien']",['France'],[],,"['Végétalien', 'Végétarien']",?,358,1498 kj(358 kcal),"4,4","0,7",2,"0,7",76,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Stevia Drops - Foodspring,4260363481328,['Foodspring'],,['France'],[],,[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Smoothie Balls Purple - Foodspring - 125g (5 * 25g),4260363481625,['Foodspring'],"['Bio', 'Bio européen', 'DE-ÖKO-006']",['France'],[],,[],1577,375,1577 kj(375 kcal),11,"1,9",0,0,"6,7","0,2","0,08",125 g (5 * 25 g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Smoothie balls - Food Spring,4260363481632,['Food Spring'],['Bio'],['France'],"['Datteln* getrocknet ', '61 Z', 'lutaten']",,[],?,375,1569 kj(375 kcal),11,"1,9",60,51,"6,7","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Whey protein Fraise - Foodspring,4260363482035,['Foodspring'],,['France'],[],,[],?,377,1577 kj(377 kcal),"4,1","3,5","5,8","4,6",79,"0,66","0,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Whey protein - Foodspring - 750.0g,4260363482080,['Foodspring'],,"['France', 'Allemagne']",[],,[],?,377,1577 kj(377 kcal),"4,1","3,5","5,8","4,6",79,"0,66","0,264",750.0 g,['Dose'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Shape shake - Foodspring,4260363482189,['Foodspring'],,['France'],[],,[],?,361,1510 kj(361 kcal),"4,1","3,4",7,5,70,"0,22","0,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Protein bar - Foodspring,4260363482363,['Foodspring'],,"['France', 'Allemagne']",[],,[],?,303,1268 kj(303 kcal),"6,5","4,1",18,"6,3",33,"0,3","0,12",,,"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Barres protéinées']",6.5 g,en quantité modérée,4.1 g,en quantité modérée,6.3 g,en quantité modérée,0.3 g,en quantité modérée,,-18%,-18%,-50%,-31%,-45%,-53%,+13%,-39%,-39%,4,-61%,C,-61%,,,,,,,,,,,,,,,,,,
9,Whey Protein Haselnuss - Geschmack - Foodspring,4260363482714,['Foodspring'],['Fabriqué en Allemagne'],['France'],[],,[],?,375,1569 kj(375 kcal),"3,7","3,1","5,4","4,2",80,"0,96","0,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Whey protein - foodspring - 750g,4260363482738,['Foodspring'],['Fabriqué en Allemagne'],['France'],"['Molkeneiweißkonzentrat', 'Molkeneiweißisolat', 'natürliches Aroma', 'Säuerungsmittel ', 'Citronsäure', 'Emulgator ', 'Sonnenblumenlecithin', 'Süßungsmittel ', 'Steviolglycoside', 'Farbstoff ', 'Beta-Carotin']",,"[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,376,1573 kj(376 kcal),"3,6",3,"5,8","3,8",80,"0,76","0,304",750g,,,,,,,,,,,,,,,,,,,,,,,,,"['E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition', 'E160ai - Bêta-carotène']",4,,,,,,,,,,,,,,,,
11,Energy Aminos pomme - Foodspring,4260363482851,['Foodspring'],"['Végétarien', 'Végétalien']",['France'],[],,"['Végétalien', 'Végétarien']",?,388,1623 kj(388 kcal),"0,4","0,1","8,7","2,6",44,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Energy bar - Foodspring - 35.0g,4260363482875,['Foodspring'],,"['France', 'Allemagne']",[],,[],?,401,1678 kj(401 kcal),"14,4","2,3",57,"37,5","8,2","0,05","0,02",35.0 g,['Riegel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Whey Protein kaffee - Foodspring,4260363483827,['Foodspring'],['Fabriqué en Allemagne'],['France'],[],,[],?,375,1569 kj(375 kcal),"3,6",3,"7,7","3,8",78,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4260368952007,4260368952007,,,['France'],[],,[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Bio Skinny Morning, Grüner Tee Mit Mate, Lose (60 G) Von Teatox",4260369590024,,['Bio'],['France'],[],,[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Skinny Night - 50g,4260369590031,['Skinny Night'],['Bio'],['France'],"['Rooibos* ', '27%', 'Citronnelle*', 'menthe poivrée*', 'hibiscus*', 'fleur de sureau*', 'fleur de tilleul*', ""feuille d'achillée*"", ""* Issu de l'agriculture biologique""]",,[],?,?,,?,,?,,?,,,50g,,"['Boissons', 'Boissons sans alcool']",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
17,Fresh Focus Green Tea Gingko Bio Refill - Teatox,4260369590581,['Teatox'],['Bio'],['France'],"[""Thé vert zeste d'orange*"", 'racine de gingembre*', 'menthe Panachée*', 'romarin*', 'eucalyptus*', 'ginkgo ', '2%', '*', 'guarana*', ""ginseng*                                       *issu de l'agriculture biologique""]",,[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,,
18,Sporty Fruits,4260369591151,,,['France'],[],,[],?,2,8 kj(2 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,HERBAL MOSCOW FERMENTED GINGER - Brand Garage GmbH - 250ml,4260370660013,['Brand Garage GmbH'],['Fabriqué en Allemagne'],"['France', 'Suisse']","['Eau', 'sucre', '1% de fermentât sans alcool', ""extraits d'orange et de gingembre"", 'arôme naturel', 'acide carbonique', 'concentré de jus de citron', 'concentré de jus de concombre', 'concentré de jus de citron vert']",,[],208,?,208 kj(50 kcal),0,0,12,12,0,0,0,250 ml,,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,0 g,en faible quantité,-25%,,-14%,-100%,-100%,+6%,+27%,-100%,-100%,-100%,15,+96%,E,+96%,['E290 - Dioxyde de carbone'],4,,,,,,,,,,,,,,,,
20,Duff beer -,4260379680043,,,['France'],[],,[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Ragoût de soja,4260380660553,,,['France'],[],,[],?,99,414 kj(99 kcal),"0,5","0,2",3,"1,2",18,"1,25","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Happy Cheeze der Gereifte,4260394561211,['Happy Cheeze'],"['Bio', 'Végétarien', 'Végétalien', 'en:EG-Öko-Verordnung']",['France'],"['noix de cajou* ', '82%', 'eau filtrée', 'sel gemme', 'mélilotMeu* ', '0,7%', 'cultures de fermentation véganes']",['Fruits à coque'],"['Végétalien', 'Végétarien']",?,402,1682 kj(402 kcal),"34,2","5,6","2,7","0,25","0,94",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Happy Cheezy Bärlauch -  - 100g,4260394561617,,"['Végétarien', 'Végétalien']",['France'],[],,"['Végétalien', 'Végétarien']",?,402,1682 kj(402 kcal),"34,2","5,6","2,7","0,25","15,4","0,94","0,376",100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Fromage végétal aux noix de cajou et herbes de provence - Happy Cheeze,4260394562713,['Happy Cheeze'],"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'DE-ÖKO-007']",['France'],"['noix de cajou* ', '71%', 'herbes de Provence* ', '1,7%', ' ', 'thyms', 'origans', 'basilic*', 'romarin*', 'origan grec*', 'lavande*']",['Fruits à coque'],"['Végétalien', 'Végétarien']",?,300,1255 kj(300 kcal),23,"4,3",10,"3,7",11,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Fromage végétal,4260394564212,,"['Bio', 'Végétarien', 'Végétalien', 'en:EG-Öko-Verordnung']",['France'],[],,"['Végétalien', 'Végétarien']",?,373,1561 kj(373 kcal),"31,7","5,3","2,53","0,23","14,4","0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Ayran Von Ayfit,4260398650027,,,['France'],[],,[],?,34,142 kj(34 kcal),"1,8","1,2","2,2","2,2","1,9","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Double Biscuit à la Fine Crème de Cacao - Veganz - 330g ℮,4260402480282,['Veganz'],"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'DE-ÖKO-001', 'Agriculture UE/Non UE', 'Point Vert', 'en:Vegetarian Society']","['France', 'Allemagne', 'Suisse']","['75 % biscuit : farine de blé', 'sucre de canne brut', 'graisse de palme', 'quinoa', 'poudre de cacao maigre ', '1,1 %', 'sirop de glucose', 'agent de levure: hydrogénocarbonate de sodium', ' sel de mer', '\r Remplissage de saveur chocolat noir 25% : sucre de canne brut', 'graisse de palme', 'poudre de cacao réduite en gras ', '24 %', 'beurre de cacao']",,"['Huile de palme', 'Végétalien', 'Végétarien']",2042,?,2042 kj(488 kcal),22,11,63,24,"6,9","0,73","0,292",330 g ℮,"['Plastique', 'Sachet']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'de:Biscuits fourrés au cacao']",22 g,en quantité élevée,11 g,en quantité élevée,24 g,en quantité élevée,0.73 g,en quantité modérée,-1%,,-1%,-6%,-7%,+1%,-26%,+5%,+32%,+32%,24,+12%,E,+12%,['E500ii - Carbonate acide de sodium'],4,D,"['Germany', 'Allemagne']",['Dm'],84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,,,
28,Kokosblüten-zucker :  vegan - Veganz - 150g,4260402480862,['Veganz'],"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'DE-ÖKO-006']","['France', 'Suisse']",[],,"['Végétalien', 'Végétarien']",1608,?,1608 kj(384 kcal),"0,3",0,92,88,"1,4","0,22","0,088",150 g,['Dose'],"['Édulcorants', 'Sucres']",0.3 g,en faible quantité,0 g,en faible quantité,88 g,en quantité élevée,0.22 g,en faible quantité,-3%,,-1%,+238%,-100%,-6%,-6%,+597%,+590%,+590%,14,-1%,D,-1%,,,B,,,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,,,,,,
29,Der Keks - Veganz,4260402483696,['Veganz'],"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'DE-ÖKO-013', 'Agriculture UE/Non UE', 'Fabriqué en Allemagne']",['France'],"['Organic biscuits With butterflavour Ingredients Wheat flour*', ' raw cane sugar*', 'sun - flower oil* ', '13%', 'Sugar beet syrup*', 'raising agents: sodium hydrogen carbonate', 'monopotassium tartrate', ' natural flavouring ', 'type buttercream', 'sea salt', 'acid: citric acid', ' bourbon vanilla extract*', ' * from organic agriculture May contain traces of peanuts', 'soya', 'nuts', 'sesame,• Other cereals contaning gluten', 'egg and milk']",,"['Végétalien', 'Végétarien']",?,441,1845 kj(441 kcal),13,"1,6",73,24,"6,7","0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,"['E500ii - Carbonate acide de sodium', 'E336i - Tartrate monopotassique', 'E330 - Acide citrique']",,,,,,,,,,,,,,,,,
30,"Chocolat à la Noix de Coco, Framboise, Quinoa - Veganz - 80g e",4260402483757,['Veganz'],"['Bio', 'Végétarien', 'Union Végétarienne Européenne', 'Végétalien', 'Union Végétarienne Européenne - Vegan']",['France'],"['Sucre de noix de coco* ', 'pâte de cacao*', 'noix de coco déshydratée* ', '14 %', 'beurre de cacao*', 'lait de coco en poudre* ', '4,5 %', ' ', 'lait de coco* ', 'maltodextrine*', 'framboises lyophilisées* ', '1,5 %', 'quinoa soufflé* ', '1,5 %', 'gousse de vanille broyée*', "" *ingrédients issus de l'agriculture biologique""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,554,2318 kj(554 kcal),38,27,43,37,6,"0,16","0,064",80 g e,"['Tablette', 'Papier']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']",38 g,en quantité élevée,27 g,en quantité élevée,37 g,en quantité élevée,0.16 g,en faible quantité,,+0%,+1%,+4%,+28%,-7%,-10%,-17%,+15%,+15%,24,+2%,E,+2%,,3,,,,,,,,,,,"Chocolat à la Noix de Coco, Framboise, Quinoa",,,,,
31,Hanfriegel Blaubeer-vanille - Veganz,4260402484150,['Veganz'],['Bio'],['France'],"['sirop de riz', ""flocon d'avoine complète"", 'grainé de chanvre10%,datte haché farine de riz,graine de tournesol', 'riz extrudé', ' graine de li ', 'amarante soufflé', 'raisin sec ', 'darne de riz', 'huile de tournesol', 'myrtille sèches 1,0%', 'extrait de vanille bourbon 0,8%', 'sel de mer', 'arôme naturel']",,[],?,430,1799 kj(430 kcal),15,"1,7",59,29,11,"0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
32,Baies de gojies,4260402484952,,"['Bio', 'Végétarien', 'Végétalien']",['France'],[],,"['Végétalien', 'Végétarien']",?,338,1414 kj(338 kcal),"4,3","0,4",59,52,11,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Golden Soul Curcuma Spice - Veganz,4260402485560,['Veganz'],"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'DE-ÖKO-006']",['France'],[],,"['Végétalien', 'Végétarien']",?,370,1548 kj(370 kcal),"2,6","0,8",81,76,"3,3","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Veganz Veganer Aufschnitt Natur,4260402486147,['Veganz'],"['Végétarien', 'Végétalien', 'Fabriqué en Allemagne']",['France'],"['Zutaten Wassert Rapsôl', 'Soja ', '73 %', 'Erbse ', '27 %', 'Carrageem Konjak', 'Guarkernmehl', 'Johannisbrot - kerrtmehl', ' modifizierte Rote-Bete-Saftkonzentrat', 'Johannisbeersaftkonzentrat', ' Salz,AntV Gewürze', 'Zwiebel• gewürzextraKt']",['Soja'],"['Végétalien', 'Végétarien']",?,145,607 kj(145 kcal),"7,5","0,5","4,5","1,5",14,"1,675","0,67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Protéine Valls peanuts brownie style - 50g,4260402487328,,"['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'DE-ÖKO-006', 'Fabriqué en Allemagne']",['France'],[],,"['Végétalien', 'Végétarien']",?,376,1573 kj(376 kcal),"6,4","1,6",51,46,27,"0,05","0,02",50 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Kakao Maca (vegan) - Veganz - 30g,4260402487649,['Veganz'],"['Végétarien', 'en:gluten-free', 'Végétalien']",['France'],[],,"['Végétalien', 'Végétarien']",?,413,1728 kj(413 kcal),19,4,49,39,"9,7","0,03","0,012",30 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Crispy Nuggets - Veganz - 200g,4260402487984,['Veganz'],"['Végétarien', 'Végétalien']",['France'],[],,"['Végétalien', 'Végétarien']",?,239,1000 kj(239 kcal),"9,7","1,1",23,"2,5",13,"1,5","0,6",200 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Substituts de viande', 'Nuggets végétaux']",9.7 g,en quantité modérée,1.1 g,en faible quantité,2.5 g,en faible quantité,1.5 g,en quantité modérée,,-3%,-2%,-16%,-11%,+22%,+45%,-6%,+17%,+17%,4,+55%,C,+55%,,,,,,,,,,,,,,,,,,
38,Soja efiloche - Veganz,4260402488288,['Veganz'],"['Bio', 'Végétarien', 'Végétalien']",['France'],[],,"['Végétalien', 'Végétarien']",?,337,1410 kj(337 kcal),"5,4","0,9",20,"8,3",43,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Algen Grill-burger,4260402558226,,['en:gluten-free'],['France'],[],,[],?,254,1063 kj(254 kcal),"20,8","1,6","11,5","0,6","5,2","1,64","0,656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"Classic Chai Tee, Simply Chai, 350G - 350g",4260420840013,,"['Végétarien', 'Végétalien']",['France'],[],,"['Végétalien', 'Végétarien']",?,377,1577 kj(377 kcal),"0,1",0,94,90,0,0,0,350 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Protein Müsli, High Protein Cereal - Ironmaxx",4260426830384,['Ironmaxx'],"['Végétarien', 'en:gluten-free', 'Végétalien', 'Sans lactose']",['France'],[],,"['Végétalien', 'Végétarien']",?,424,1774 kj(424 kcal),"17,2",3,"17,4","4,5","45,2","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Ironmaxx Protein Müsli Cereal,4260426830414,['Ironmaxx'],,['France'],"['flocons de SOJA', 'SOJA soufflé avec cacao de SOJA', 'semule de ri4 sucre', 'poudre de cao dégraissé', 'farine de SOJA', 'Sel', 'arôme naturel', 'de chocolat ', 'Sucre', 'pâte de de cacao', 'de SOJA', 'graines de poudreòe—o dextine', 'arôme', 'inuline', 'édulcoranÉ sUcralose', 'stéviŒide']",['Soja'],[],?,404,1690 kj(404 kcal),"13,9","2,9","19,5","10,1","47,7","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
43,Ironmaxx Imperius,4260426830759,['Ironmaxx'],,['France'],"['sd$ÀFkofEïh ISOLAT,Waser', 'MANDELH ', '4%', 'SüBungsmittel ', 'Ma', 'rup', 'Ermes Kakaoputver', 'Palmfett', 'mittel ', 'Sucralose', ' Kann Ver', ' zehr abführend wirken', ' Kana S uren enfratten GLUTEN', 'El', 'ERDNUS!EN und AN', ' DEREN SCHALEHFRÜCHTEN']",['Gluten'],[],?,388,1623 kj(388 kcal),17,9,34,"3,5",36,"0,62","0,248",,,,,,,,,,,,,,,,,,,,,,,,,,['E955 - Sucralose'],4,,,,,,,,,,,,,,,,
44,Imperius - 45g,4260426830766,['Imperius'],,['France'],"['chocolat au lait ', '30%', ' ', 'édulcorant ', 'maltitol', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'émulsifiant ', 'lécithine', 'arôme', 'protéines de lait ', 'peptides de collagène', 'humectants ', 'glycérine', 'isolat de soja', 'eau', 'arachides ', '4%', 'édulcorants ', ' Sirop de maltitol', 'graisse de palme', 'poudre de cacao faible en gras', 'émulsifiant ', 'lécithine ', 'tournesol', 'colorant ', 'sucre caramel', 'arôme', 'sel', 'édulcorant ', 'sucralose']","['Lait', 'Arachides']","['Huile de palme', 'Non végétalien']",?,387,1619 kj(387 kcal),17,"9,1",34,"3,4",36,"0,72","0,288",45 g,['Plastique'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées']",17 g,en quantité modérée,9.1 g,en quantité élevée,3.4 g,en faible quantité,0.72 g,en quantité modérée,,-23%,-23%,-38%,-40%,-39%,-92%,+428%,+123%,+123%,16,-34%,D,-34%,"['E965 - Maltitol', 'E322i - Lécithine', 'E422 - Glycérol', 'E965ii - Sirop de maltitol', 'E955 - Sucralose']",4,,['Belgique'],['fitness boutique'],,,,,,,,Barre chocolat,['Belgique'],['Huile de palme'],,,
45,Avengers powerfruit punch - Marvel,4260427290026,['Marvel'],,['France'],"['eau', 'jus de cassis concentré ', '6,5%', 'jus de grenade concentré ', '3,5%', 'acide carbonique', 'jus de canneberge ,oncentré ', '1 arômes', 'acidifiant acide citrique', 'édulcorants cyclamate de sodium et sucralose', "" jus d'aronia concentré "", '0,1%', 'jus de mûre concentré ', '0,1 concentré colorant de carotte', ""extrait d'açai"", 'mélange de vitamines: niacine', 'acide Pantoténique', 'vitamine B6', 'vitamine BI et vitamine B12']",,[],?,5,21 kj(5 kcal),0,0,"0,9","0,9",0,"0,008","0,003",,,,,,,,,,,,,,,,,,,,,,,,,,"['E290 - Dioxyde de carbone', 'E330 - Acide citrique', 'E952 - Acide cyclamique et ses sels', 'E955 - Sucralose']",4,,,,,,,,,,,,,,,,
46,4260428460305,4260428460305,,,['France'],[],,[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Whity Veganer KaffeeWeisser - Vantastic Foods,4260430650688,['Vantastic Foods'],"['Végétarien', 'Végétalien']",['France'],[],,"['Végétalien', 'Végétarien']",?,505,2113 kj(505 kcal),25,24,70,39,0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Gemüse-Kraüter-Mix,4260432360134,,,['France'],[],,[],?,334,1397 kj(334 kcal),"4,8","0,7","47,6","35,3","12,1","0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Bio Low Carb Müsli - Wyld,4260432980059,['Wyld'],['Bio'],['France'],[],,[],?,399,1669 kj(399 kcal),"19,8","3,9","14,9","7,9","34,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Lowcarb M?sli,Cranberry Und Buchweizen - wyld",4260432980523,['Wyld'],,['France'],[],,[],?,420,1757 kj(420 kcal),17,"4,6",35,12,24,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Fahrenheit,4260441820667,,,['France'],[],,[],?,537,2247 kj(537 kcal),44,26,25,18,15,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Lillydoo Feuchttücher Mit 99% Wasser,4260442160557,,['Bio'],['France'],[],,[],?,1,4 kj(1 kcal),1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Müsli - Seeberger - 315g,4260445960123,['Seeberger'],,"['France', 'Allemagne']",[],,[],?,?,,?,,?,,?,,,315 g,['Beutel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Müsliglück Ritter Der Morgenstunde, 300 G - Seeberger",4260445960420,['Seeberger'],['Fabriqué en Allemagne'],['France'],"['Haferflocken', 'Cornflakes ', 'Mais', 'Zucker', ' Speisesalz', 'Gerstenmalzextrakt', 'Getreideextrudat ', 'Hafermehl', 'Maismehl', 'Reismehl', 'Gerstenmalzextrakt', 'Dextrose', 'Weizenfaser', 'Weizenmehl', 'Speisesalz', ' Vollmilchschokolade ', '5 %', ' ', 'Zucker', 'Kakaobutter Vollmilchpulver', 'Kakaomasse', 'Emulgator: Sojalecithine', 'Hirse gepufft', 'Reisextrudat ', 'Vollkornreismehl', 'Birnen getrocknet ', '2,5 %', 'Erdbeeren gefriergetrocknet ', '1%', ' Apfel getrocknet ', '1 0%', 'Zucker', 'Zartbitterschokolade ', '1 %', ' ', 'Kakaomasse', 'Zucker', 'Kakaobutter', 'Bourbon-Vanille', 'Reismeht Kann Spuren von Schalenfrüchten und Sesam enthalten']",,[],?,382,1598 kj(382 kcal),"7,1","2,4",65,9,11,"0,27","0,108",,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
55,Lovely Porridge Müsliglück - Seeberger,4260445961854,['Seeberger'],['Fabriqué en Allemagne'],['France'],[],,[],?,362,1515 kj(362 kcal),"5,7","1,1",62,12,12,"0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Natural bite,4260446585028,,"['Végétarien', 'en:gluten-free', 'Végétalien']",['France'],[],,"['Végétalien', 'Végétarien']",?,561,2347 kj(561 kcal),"39,7","4,2","33,2",19,"14,6","0,58","0,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Caffè Decaffeinato,4260453440143,,,['France'],[],,[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"Matcha , Limette",4260456730012,,,['France'],[],,[],?,32,134 kj(32 kcal),"7,5","7,5",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Daisho tiger,4260471430683,,,['France'],[],,[],?,36,151 kj(36 kcal),0,0,"8,8","8,7",0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
