,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,nova_score,labels,allergens,ingredients_origins,manufacturing,link,palm_ingredients,markets,generic_name,brand_owner,traceability_code
0,Coca-cola 330ML Life Soft Drink,5740700988561,['Coca-Cola'],['France'],[],[],?,23,96 kj(23 kcal),0,0,"5,8","5,8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Fanta Peach - 1,5740700989032,['Fanta'],"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Lurpak Unsalted Lighter Spreadable 500G - 100g,5740900401259,['Lurpak'],"['France', 'Royaume-Uni']",[],[],?,516,2159 kj(516 kcal),57,22,"0,4","0,4","0,3","0,01","0,004",100 g,['Tub'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Aleifetail eykola - Lurpak,5740900402119,['Lurpak'],['France'],[],[],?,706,2954 kj(706 kcal),78,35,"0,6","0,6","0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Lurpak Lighter Spreadable - 200g,5740900815308,['Lurpak'],['France'],[],[],?,516,2159 kj(516 kcal),57,25,"0,4","0,4","0,3","0,9","0,36",200g,,E,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres']",57 g,en quantité élevée,25 g,en quantité élevée,0.4 g,en faible quantité,0.9 g,en quantité modérée,,-28%,-28%,-28%,-53%,-46%,-35%,-56%,-5%,-5%,15,-32%,D,-32%,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,,,,,,,,,,
5,Supermalt Original -  - 330ml,5741000000021,,['France'],[],[],?,62,259 kj(62 kcal),0,0,15,13,1,"0,02","0,008",330 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Faxe kondi - royal unibrew A/S - 1,5liter",5741000123591,['royal unibrew A/S'],"['Danemark', 'France']","['Vand', 'sukker', 'druesukker ', '2%', 'syre ', 'E330', 'kuldioxid', 'citrusolier', 'salt', 'konserveringsmiddel ', 'E211', 'surhedsregulerende midler ', 'E339', 'E500', 'E331', 'E501', 'aroma ', 'bl', 'a', ' koffein og quinin']",[],?,41,172 kj(41 kcal),0,0,10,10,0,"0,05","0,02","1,5 liter",,,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Boissons avec sucre ajouté']",0 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0.05 g,en faible quantité,,+52%,+48%,-100%,-100%,+47%,+51%,-100%,+260%,+260%,13,+41%,E,+41%,,,,,,,,"['E330 - Acide citrique', 'E290 - Dioxyde de carbone', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E331 - Citrates de sodium', 'E501 - Carbonates de potassium']",4,,,,,,,,,,
7,Polar monkeys chairman ipa,5741000151570,,['France'],[],[],?,?,,?,,?,,?,,,,,C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'en:India Pale Ale']",,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,
8,VITAMALT CLASSIC,5741000442715,,['France'],[],[],?,67,280 kj(67 kcal),0,0,16,14,1,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Puck Labnah - 200g,5760466743983,['Puck'],['France'],[],[],?,208,870 kj(208 kcal),17,8,"6,6","6,6","7,3","0,32","0,128",200g,['20'],,['en:Spread cheese'],17 g,en quantité modérée,8 g,en quantité élevée,6.6 g,en quantité modérée,0.32 g,en quantité modérée,,,,,,,,,,,11,,D,,,,,,,,,,,['en:Arla'],,,,,,,,,
10,Alter mommark,5760466764513,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Lactofree mild cheedar cheese - Arla Foods,5760466907682,['Arla Foods'],['France'],[],[],?,416,1741 kj(416 kcal),"34,9","21,7","0,1","0,1","25,4","1,8","0,72",,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",34.9 g,en quantité élevée,21.7 g,en quantité élevée,0.1 g,en faible quantité,1.8 g,en quantité élevée,,+26%,+27%,+31%,+22%,-92%,-87%,+25%,+38%,+38%,17,+24%,D,+24%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,['Sans lactose'],,,,,,,,,
12,Urtekram Crunchy Aronia Havremüsli Eko 550G - 550g,5765228126844,['Urtekram'],"['France', 'Suède']","['Havrecrunch* ', '28 %', ' [havreflager* ', '62 %', 'rørsukker*', 'groft havremel* ', '10 %', 'palmeolie*', 'kokos*', 'honning*', 'puffede ris* [rismel*', 'havsalt', 'bygmalt*]', 'havsalt]', 'havreflager* ', '27 %', 'ruggryn*', 'fuldkornsmajsflager*', 'aroniabær-krymmel* ', '3 %', ' [aroniabærsaftkoncentrat ', '50 %', 'majsstivelse*]', 'æbletern* ', '3 %', 'solsikkekerner*', ' * = Økologisk', ' Kan indeholde spor af æg', 'soja', 'mælk', 'selleri']","['Huile de palme', 'Non végétalien']",?,390,1632 kj(390 kcal),8,"2,8",65,11,"9,8","0,07","0,028",550 g,['Flingor och gröt'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],['Gluten'],,,,,,,,
13,Muesli coconut crunch - Urtekram,5765228127155,['Urtekram'],['France'],"['Kokoscrunch* ', '26 %', ' [havreflingor*', 'rôrsocker*', 'palmolja*', 'kokosmjôl*', 'havremjôl*', 'puffat ris* havssalt', 'kornmalt*', 'havssaltl', ""havreflingo' réggryn*"", 'branflakes* ', '14 %', ' Ifullkornsvetemjôl*', 'rôrsocker*', 'vetekli*', 'majsgl kossirap* korhmaltextrakt*', 'havssalt]', 'rostade kokoschips* ', '7 %', 'tranbâr* ', '60 solrosolia* ', '<1%11', ' ouffat hirc*']",['Huile de palme'],?,380,1590 kj(380 kcal),10,"5,6","57,8","13,1","9,3","0,22","0,088",,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']",10 g,en quantité modérée,5.6 g,en quantité élevée,13.1 g,en quantité élevée,0.22 g,en faible quantité,,-9%,-9%,-24%,+69%,-4%,-22%,-6%,+26%,+26%,6,+22%,C,+22%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,['Bio'],"['Gluten', 'Lait', 'Fruits à coque', 'Graines de sésame', 'Soja']",,,,,,,,
14,Rice cakes - Urtekram,5765228882986,['Urtekram'],['France'],[],[],?,498,2084 kj(498 kcal),"24,5","14,7",61,"29,6",7,"0,23","0,092",,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de riz soufflé']",24.5 g,en quantité élevée,14.7 g,en quantité élevée,29.6 g,en quantité élevée,0.23 g,en faible quantité,,+15%,+15%,+108%,+130%,-14%,+133%,-5%,+26%,+26%,23,+173%,E,+173%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,,,,,,,,,,,,
15,Emprésuré Chocolat Intense - Malo - 500g  (4 * 125g),57615646,['Malo'],['France'],"['lait partiellement écrémé pasteurisé 53%,lait concentré écrémé', 'sucre 9,2%', 'cacao 3,8%', 'chocolat 0,8 % : pâte de cacao et beurre de cacao', 'présure', 'chlorure de calcium']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,121,506 kj(121 kcal),2,"1,3",19,"6,8","0,27","0,27","0,108",500 g  (4 * 125 g),"['Frais', 'Carton', 'Plastique', 'métal']",B,"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Crèmes dessert', 'Desserts au chocolat', 'Crèmes dessert rayon frais', 'Crèmes dessert chocolat']",2 g,en faible quantité,1.3 g,en faible quantité,6.8 g,en quantité modérée,0.27 g,en faible quantité,,-10%,-10%,-56%,-55%,+2%,-58%,-93%,+80%,+80%,4,-15%,C,-15%,72.7%,12.5%,5.4%,5.5%,3.0%,0.8%,77,,3,"['Lait Français', 'Fabriqué en France']",,['France'],"['France', 'Bretagne']",,,,,,
16,"Petite Orange, Fruchtig - Anthon Berg",5774540810300,['Anthon Berg'],['France'],"['N', 'rringsindhold/NSringqinoehÀit/Nutrition iacts', 'tlnformation Ravintosisaltò/tniorma« nutriq ional/WartoCci pt Jper/pour[pro/en/w reg t/l ettjt at/', ' ze gras saturés/davon ges2itttgte Vettsàuren/josta tyydyttyneet rasvat', '/ de las acidos rasos saturados/w t m nas cone rate] uct es/Ko en rate/ raatt u rat/Ro rat ar Hidratos de carbono/W Iowodan era su erarter/varav soc erartero w ic sugars/ nt sucre davon Zucker/josta sokerit/de las cuates azücares/w tym cukry votellnl/ rotetna la a rotetrv rotelney twel Salt/Se /Salz/Suola/Sal/SOl']",[],?,470,1966 kj(470 kcal),25,"7,5",51,42,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Anthon Berg Marzipan Original Riegel 7er - 280g,5774540810454,,['France'],"['Sucre', 'amandes 29%', 'pâte de cacao', ""amandes d'abricot"", 'sirop de glucose', 'beurre de cacao', 'graisse lactique', 'émulsifiant ', 'lécithine de colza', 'conservateur ', 'acide sorbique', 'Cacao: 50% au minimum dans le chocolat noir', ""La pâte d'amandes contient 42% d'amandes,""]",[],?,523,2188 kj(523 kcal),32,"8,4",46,37,11,,,280 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E322i - Lécithine', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition']",4,,['Fruits à coque'],,,,,,,,
18,Laranja & pêssego,5775345121523,,['France'],[],[],?,320,1339 kj(320 kcal),"0,9",0,75,75,"0,9","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sunquick Laranja - orange,5775345121578,['Sunquick'],['France'],[],[],?,320,1339 kj(320 kcal),0,0,75,75,0,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Sirop Goyave rose & Fraise - Sunquick,5775345138910,['Sunquick'],['France'],[],[],?,13,54 kj(13 kcal),"0,1","0,1","7,5","0,1","0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Tivoli Caramel Crunch & Pear Cookies Tin,5776879010994,,['France'],[],[],?,470,1966 kj(470 kcal),22,11,63,35,"4,3","0,85","0,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Jacobsens Fun Phrars Butter Cookies 150G,5776879013179,,"['France', 'Pays-Bas']",[],[],?,479,2004 kj(479 kcal),23,11,62,23,"5,3","0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Cookies Frozen,5776879013735,,['France'],[],[],?,501,2096 kj(501 kcal),24,13,65,33,"5,3","0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Biscuits Danois au beurre - I-Hot - 150g,5776879014954,['I-Hot'],['France'],"['Farine de blé', 'sucre', 'graisse végétale ', 'huile de palme et huile de colza', 'beurre ', 'lait', ' 2,5 %', 'noix de coco', 'arôme de beurre', 'sel', 'arôme : vanille', 'poudre à lever ', ""carbonate acide d'ammonium"", 'dextrose']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",2011,479,2011 kj(479 kcal),23,11,62,23,"5,3","0,19","0,076",150 g,['boîte'],D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",23 g,en quantité élevée,11 g,en quantité élevée,23 g,en quantité élevée,0.19 g,en faible quantité,+1%,+1%,+1%,+11%,+9%,-3%,-22%,-18%,-68%,-68%,21,+6%,E,+6%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"[""E503ii - Carbonate acide d'ammonium""]",4,,"['Gluten', 'Lait']",,['Danemark'],http://intergoodshouseoftaste.com/seasonal%20danish%20butter%20cookies.html,['Huile de palme'],,,,
25,Pâte en pot de bieuf,5777200302986,,['France'],[],[],?,34,142 kj(34 kcal),"0,81","0,01","3,35","1,48","2,67","0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,
26,Hauts de cuisse de poulets congeles - 1kg,5789000055702,,['France'],[],[],?,1,4 kj(1 kcal),1,1,1,1,1,1,"0,4",1 kg,,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",1 g,en faible quantité,1 g,en faible quantité,1 g,en faible quantité,1 g,en quantité modérée,,-99%,-100%,-92%,-70%,+214%,+545%,-95%,+31%,+31%,4,+13%,C,+13%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
27,Ratatouille bio,57831428,,['France'],[],[],?,64,268 kj(64 kcal),"3,5","0,5","6,1","5,2","1,2","0,47","0,188",,,B,"['Plats préparés', 'Légumes préparés', 'Ratatouilles']",3.5 g,en quantité modérée,0.5 g,en faible quantité,5.2 g,en quantité modérée,0.47 g,en quantité modérée,,-6%,-4%,-7%,-7%,+19%,+34%,+2%,-34%,-34%,3,+207%,C,+207%,69.3%,12.8%,5.7%,6.8%,3.2%,2.3%,79,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,
28,Jus d'orange de Floride - Casino - 1l,5844003114211,['Casino'],['France'],[],[],?,?,,?,,?,,?,,,1 l,"['Brique', 'Carton', 'Bouchon', 'Plastique']",C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange pur jus""]",,,,,,,,,,,,,,,,,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,"['Pur jus', 'Naturellement source de vitamine C']",,,,,,['Casino'],,,
29,Gratin de courgette au boeuf - Fleury Michon - 300g,58514634,['Fleury Michon'],['France'],[],[],?,112,469 kj(112 kcal),"6,1","2,8",7,"4,4","6,6","0,78","0,312",300 g,,B,"['Plats préparés', 'Produits à la viande', 'Gratins', 'Plats préparés à la viande', 'Plats au bœuf', 'Gratins de légumes']",6.1 g,en quantité modérée,2.8 g,en quantité modérée,4.4 g,en faible quantité,0.78 g,en quantité modérée,,+3%,+4%,-10%,-19%,+17%,+51%,+70%,+27%,+27%,2,-25%,B,-25%,71.1%,12.3%,5.4%,6.1%,3.0%,2.1%,76,,,['Nutriscore'],,,,,,,,,
30,Tartines craquantes multicereales -,58595985,,['France'],[],[],?,372,1556 kj(372 kcal),"0,9","0,2",81,"2,9",9,"0,35","0,14",,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Tartines craquantes']",0.9 g,en faible quantité,0.2 g,en faible quantité,2.9 g,en faible quantité,0.35 g,en quantité modérée,,-2%,-3%,-80%,-81%,+15%,-48%,-9%,-60%,-60%,0,-100%,B,-100%,65.1%,19.7%,8.5%,5.9%,0.7%,0.0%,90,,,['Bio'],,,,,,,,,
31,Barres Fitness Chocolat Blanc - Nestlé - 141g,5900020012012,['Nestlé'],['France'],"['Céréales 41,5% ', 'blé complet 22,8%', 'riz', 'farine de blé complet 2,2%', 'farine de maïs complet 1,8%', 'sirop de glucose', 'sucre', 'humectants : glycérol', 'sirop de sorbitol', "" extrait de malt d'orge"", 'sirop de sucre inverti', 'fructo-oligosaccharides', 'chocolat blanc 4% ', 'sucre', 'lait entier en poudre', 'beurre de cacao', 'lait écrémé en poudre', 'émulsifiant : lécithine de soja', ' arôme vanille', 'huile de palme', 'lait écrémé en poudre', 'beurre de cacao', 'maltodextrine', 'mélasse', 'sel', 'arômes', 'amidon de maïs', 'émulsifiants : lécithine de tournesol', ""mono - et diglycérides d'acides gras"", "" correcteur d'acidité : phosphates de sodium"", ' antioxydant : extrait riche en tocophérols', ' vitamines ', 'PP', 'B5', 'B2', 'B6', 'B9', 'minéraux ', 'carbonate de calcium', 'fer']","['Huile de palme', 'Non végétalien']",1555,369,1555 kj(369 kcal),"7,8","5,5","64,5","23,7","5,7","0,81","0,324",141 g,['Carton'],D,"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales', 'Barres de céréales au chocolat']",7.8 g,en quantité modérée,5.5 g,en quantité élevée,23.7 g,en quantité élevée,0.81 g,en quantité modérée,-21%,-17%,-17%,-60%,-45%,+9%,-26%,-20%,+117%,+117%,12,-31%,D,-31%,83.7%,9.1%,3.5%,2.1%,1.6%,0.0%,46,"['E422 - Glycérol', 'E420ii - Sirop de sorbitol', 'E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E306 - Extrait riche en tocophérols']",4,,"['Gluten', 'Lait', 'Soja']",,,,['Huile de palme'],,"Barres de céréales au blé complet et au chocolat blanc, enrichie en 5 vitamines, calcium et fer",,
32,Nesquik - Nestlé,5900020013194,['Nestlé'],['France'],"['INGREDIENSER: Mjôl/Mel ', 'fullkornsvetel-hvetel-hvede 51%', 'majs 17%', 'socker/sukker', 'glukossirap/glucosesirup', 'fettreduserat/fedtredusert kakaopulver ', '5,7 0%', 'salt naturlig arom/aroma', ' KAN INNEHOLDE/INNEHÀLLA MELKI MGLWMJbLK']",['Non végétalien'],?,375,1569 kj(375 kcal),"1,9","0,6","76,6","24,9","8,4","0,42","0,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Céréales Nesquik,5900020013668,"['Nesquik', 'Nestlé']",['France'],[],[],?,369,1544 kj(369 kcal),"1,7","0,6","75,8","24,9","8,4","0,44","0,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Nestle Chocapic,5900020013927,['Nestlé'],['France'],"['žita 61,9% ', 'pšenična polnozrnata moka 31,79% ', 'Vsebuje gluten', 'pšenična moka 15,9 % ', 'vsebuje gluten', 'koruzni zdrob 14,3%', 'sladkor', 'kakavov prah 7,1 %', 'glukozni sirup', 'izvleček ječmenovega sladu ', 'vsebuje gluten', 'palmino olje', 'vitamini ', 'tiamin-hidroklorid', 'holekalciferol', 'nikotinamid', 'kalcijev D-pantotenat', 'piridoksin-hidroklorid', 'riboflavin', 'pteroilmonoglu - taminska kislina', 'minerala ', 'kalcijev karbonat in elementarno zelezo', 'emulgator: sončnični lecithin', 'jedilna sol', 'aromi', 'Lahko Vsebuje mleko', 'arašide in oreške,']",[],?,388,1623 kj(388 kcal),"4,5","1,8","75,1","28,9","8,1","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,['en:Verified'],,,,,,,,,
35,Fitness Tiramisu - Nestlé,5900020014245,['Nestlé'],"['Belgique', 'France']",[],[],?,385,1611 kj(385 kcal),"6,7","4,6",68,22,"6,1","0,34","0,136",,"['Carton', 'Sachet', 'Plastique']",,"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']",6.7 g,en quantité modérée,4.6 g,en quantité modérée,22 g,en quantité élevée,0.34 g,en quantité modérée,,-9%,-9%,-58%,-23%,+13%,-19%,-18%,-13%,-13%,13,-2%,D,-2%,,,,,,,,,,,,,,,,,,,
36,Nestlé Fitness 8X23.5G Suklaa Viljavälipalapatukka,5900020019684,['Nestlé'],"['France', 'Espagne']","['Cereales [trigo integral ', '24,2%', 'arroz 17,8%', 'avena integral ', '3,4%', '""harina de trigo integral ', '2,2%', 'semolina de maiz ', '0,8%', 'harina de arroz ', '0,2%', ']', 'chocolate ', '17%', ' ', 'azúcar', 'cacao', 'leche desnatada en polvo', 'manteca de cacao', 'suero de leche en polvo', 'emulgentes: lecitina de soja y polirricinoleato de poliglicerol', 'aroma de vainilla', ' jarabe de glucosa', 'azúcar', 'jarabe de azúcar invertido', 'extracto de malta de cebada', 'humectante ', 'glicerina', 'grasa de palma', 'aceite de girasol', 'extracto de cebada', 'jarabe de azúcar moreno parcialmente invertido', 'sal', 'cacao en polvo', 'emulgente ', 'lecitina de girasol', 'aroma de chocolate', 'antioxidante ', 'extracto rico en tocoferoles', 'cacao desgrasado', 'dextrosa', 'corrector de acidez ', 'fosfato trisódico', ' Vitaminas y minerales: Riboflavina', 'niacina', 'vitamina B6', 'acido folico', 'ácido pantoténico', 'carbonato cálcico', 'hierro', ' Puede contener frutos secos']","['Huile de palme', 'Non végétalien']",?,383,1602 kj(383 kcal),"7,4","3,9","67,6","27,3","6,2","0,72","0,288",,,,"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']",7.4 g,en quantité modérée,3.9 g,en quantité modérée,27.3 g,en quantité élevée,0.72 g,en quantité modérée,,-9%,-10%,-53%,-35%,+12%,+0%,-17%,+84%,+84%,16,+21%,D,+21%,,,,,,,,"['E422 - Glycérol', 'E306 - Extrait riche en tocophérols', 'E101i - Riboflavine']",4,,"['Gluten', 'Fruits à coque']",,,,,,,,
37,Nestlé Lion 350G Suklaan Ja Toffeen Makuisia Täysjyvämuroja - 350g,5900020023582,['Nestlé'],['France'],[],[],?,401,1678 kj(401 kcal),"5,5","2,2","76,3","29,7","8,7","0,45","0,18",350 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Nesquik Delice - Nestle,5900020024145,['Nestle'],['France'],[],[],?,400,1674 kj(400 kcal),"11,4","4,9","63,7","33,5","5,7","0,43","0,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Fitness Delice - Nestlé,5900020026453,['Nestlé'],['France'],[],[],?,381,1594 kj(381 kcal),"7,3","3,8","67,8","26,9","6,4","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,barres Nesquik - Nestle,5900020027757,['Nestle'],['France'],"['Céréales 32,1 ', 'faine complète de blé 22%', 'semoule de maïs', 'farine de riz', 'sirop de glucose', 'huiles végétales ', 'huiles de palmiste et de palme', 'huile de tournesol', 'lait concentré sucré 8,2% ', 'lait', 'sucre', 'sucre', 'lait écrémé en poudre 7,5%', 'chocolat en poudre 7,5% ', 'sucre', 'poudre de cacao', 'sirop de sirop de sucre inverti', 'humectants : glycérol et sirop de sorbitol', 'vitamines et minéraux ', 'carbonate de calcium', 'niacine', 'fer', 'acide pantothénique', 'acide folique', 'D', 'B6', '82', 'maltodextrine', 'sel', 'émulsifiant : lécithine de tournesol', ' cacao maigre en poudre', 'dextrose', ""correcteur d'acidité : phosphates de sodium"", 'arôme naturel', 'antioxydant : extrait riche en tocophérols']","['Huile de palme', 'Non végétalien']",?,407,1703 kj(407 kcal),13,"7,4",61,30,7,"0,49","0,196",,,,"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']",13 g,en quantité modérée,7.4 g,en quantité élevée,30 g,en quantité élevée,0.49 g,en quantité modérée,,-4%,-4%,-18%,+24%,+1%,+10%,-6%,+25%,+25%,15,+14%,D,+14%,,,,,,,,"['E422 - Glycérol', 'E420ii - Sirop de sorbitol', 'E322i - Lécithine', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E306 - Extrait riche en tocophérols']",4,,"['Gluten', 'Lait']",,,,['Huile de palme'],,,,
41,Chocapic - Nestle - 300g (12 * 25g),5900020027771,"['Nestle', 'Chocapic']",['France'],"['Céréales 27,8% ', 'farine de blé complet 19,3%', 'farine de blé', 'semoule de maïs', 'farine de riz', 'sirop de glucose', 'huiles végétales ', 'huile de palmiste', 'huile de palme', 'huile de tournesol', 'chocolat en poudre 10% ', 'sucre', 'cacao en poudre', 'lait concentré sucré 8,8% ', 'lait', 'sucre', 'lait écrémé en poudre 814%', 'humectants : sirop de sorbitol', 'glycérol ', ' sirop de sucre inverti', 'sucre', 'maltodextrine', 'dextrose', 'émulsifiant : lécithine de tournesol ', ' sel', ""extrait de malt d'orge "", 'gluten', 'arômes', 'antioxydant : extrait riche en tocophérols ', "" cacao maigre en poudre 0,03%1 correcteur d'acidité : phosphates de sodium"", ' Vitamines ', 'PP', 'B5', 'B6', 'B2,B9', ' et minéraux ', 'carbonate de calcium et fer']","['Huile de palme', 'Non végétalien']",?,407,1703 kj(407 kcal),"13,8","8,1","61,3","28,4","7,6","0,4","0,16",300 g (12 * 25 g),,,"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']",13.8 g,en quantité modérée,8.1 g,en quantité élevée,28.4 g,en quantité élevée,0.4 g,en quantité modérée,,-4%,-4%,-13%,+36%,+2%,+4%,+2%,+2%,+2%,17,+29%,D,+29%,,,,,,,,"['E420ii - Sirop de sorbitol', 'E422 - Glycérol', 'E322i - Lécithine', 'E306 - Extrait riche en tocophérols']",4,,"['Gluten', 'Lait']",,,,['Huile de palme'],,,,
42,Cini minis - Nestle - 125g,5900020029645,['Nestle'],['France'],[],[],?,418,1749 kj(418 kcal),"10,1","4,3","73,5","24,8","5,7","0,97","0,388",125 g,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",10.1 g,en quantité modérée,4.3 g,en quantité modérée,24.8 g,en quantité élevée,0.97 g,en quantité modérée,,+5%,+5%,+16%,+95%,+10%,+49%,-39%,+172%,+172%,13,+141%,D,+141%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,,,,,,
